Paper,Citation
Moment method analysis of a reconfigurable OTA reverberation chamber,Improved Antenna Efficiency Measurement Uncertainty in a Reverberation Chamber at Millimeter-Wave Frequencies
Moment method analysis of a reconfigurable OTA reverberation chamber,Modeling soot in coal systems
Moment method analysis of a reconfigurable OTA reverberation chamber,Modeling soot formation from solid complex fuels
Rapid visualization of compressor blade finite element models using surrogate modeling,Optimization of origami-based tubes for lightweight deployable structures
Rapid visualization of compressor blade finite element models using surrogate modeling,"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application"
Rapid visualization of compressor blade finite element models using surrogate modeling,Comparison and Analysis of Recursive-RANSAC for Multiple Target Tracking
Rapid visualization of compressor blade finite element models using surrogate modeling,Structural analysis and optimization of tall buildings connected with skybridges and atria
Rapid visualization of compressor blade finite element models using surrogate modeling,A fast-running simulation tool for axisymmetric oxy-coal combustors
Rapid visualization of compressor blade finite element models using surrogate modeling,Predicting efficiency of a turbine driven by pulsing flow
Rapid visualization of compressor blade finite element models using surrogate modeling,Fourier descriptors for improved analysis of distortion transfer and generation
Rapid visualization of compressor blade finite element models using surrogate modeling,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C
Rapid visualization of compressor blade finite element models using surrogate modeling,Exploration of carbon-filled carbon nanotube vascular stents
Rapid visualization of compressor blade finite element models using surrogate modeling,Impact of computational mesh on CFD combustion predictions
Rapid visualization of compressor blade finite element models using surrogate modeling,A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows
Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,Water entry of deformable spheres
Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,Gradient-based optimization of wind farms with different turbine heights
Evaluation of curve fitting techniques for estimating time of surcharge release in embankment construction over soft soils,Simulation-based coefficients for adjusting climate impact on energy consumption of commercial buildings
Evaluation of curve fitting techniques for estimating time of surcharge release in embankment construction over soft soils,Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,A minimal realization technique for the dynamical structure function of a class of LTI systems
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,Realizing origami mechanisms from metal sheets
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,Towards a universal social impact metric for engineered products that alleviate poverty
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,"Multi-objective design optimization of a soft, pneumatic robot"
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,A simple starting point for designing for and/or assessing the social impact of products
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,Highly compressible origami bellows for microgravity drilling-debris containment
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,Pull-out strength of composite rebar made using a three-dimensional braiding machine
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace"
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,Strategies employed and lessons learned by commercial construction companies during economic recession and recovery
Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace"
Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,Small aircraft flight encounters database for UAS sense and avoid
Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,Highly compressible origami bellows for microgravity drilling-debris containment
Mixing plane simulation of a high-performance fan using kestrel,Highly compressible origami bellows for microgravity drilling-debris containment
Mixing plane simulation of a high-performance fan using kestrel,Impact of computational mesh on CFD combustion predictions
Mixing plane simulation of a high-performance fan using kestrel,Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus
Mixing plane simulation of a high-performance fan using kestrel,Predicting efficiency of a turbine driven by pulsing flow
Mixing plane simulation of a high-performance fan using kestrel,"Multi-objective design optimization of a soft, pneumatic robot"
Mixing plane simulation of a high-performance fan using kestrel,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Mixing plane simulation of a high-performance fan using kestrel,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Mixing plane simulation of a high-performance fan using kestrel,Small aircraft flight encounters database for UAS sense and avoid
Mixing plane simulation of a high-performance fan using kestrel,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C
Mixing plane simulation of a high-performance fan using kestrel,Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,A Comparison of Indoor MIMO Measurements and Ray-Tracing at 24 and 2.55 GHz
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,Relative target estimation using a cascade of extended Kalman filters
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,"Improving sensitivity of electrochemical sensors with convective transport in free-standing, carbon nanotube structures"
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,Optical electric field sensor sensitivity direction rerouting and enhancement using a passive integrated dipole antenna
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,Near-to-eye electroholography via guided-wave acousto-optics for augmented reality
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,Antenna Loss and Receiving Efficiency for Mutually Coupled Arrays
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,"Poynting Streamlines, Effective Area Shape, and the Design of Superdirective Antennas"
The secure socket API: TLS as an operating system service,Layering Security at Global Control Points to Secure Unmodified Software
The secure socket API: TLS as an operating system service,TrustBase: An architecture to repair and strengthen certificate-based authentication
3D printed microfluidic selectable ratio mixer pump in 2 mm3,Selective Laser Melting aluminum waveguide attenuation at K-band
3D printed microfluidic selectable ratio mixer pump in 2 mm3,Improved bottomhole pressure control with wired drillpipe and physics-based models
Sediment management in U.S. reservoirs: Challenges and progress [Gestion des sédiments dans les retenues américaines: Défis et progrès],Haptic Shape-Based Management of Robot Teams in Cordon and Patrol
Sediment management in U.S. reservoirs: Challenges and progress [Gestion des sédiments dans les retenues américaines: Défis et progrès],Reservoir sustainability and sediment management
Sediment management in U.S. reservoirs: Challenges and progress [Gestion des sédiments dans les retenues américaines: Défis et progrès],Comprehensive and quality-controlled bedload transport database
Thermal diffusivity measurements with fluorescent scanning microscope,The scaled SLW model of gas radiation in non-uniform media
Thermal diffusivity measurements with fluorescent scanning microscope,Use of Personality Profile Assessments in the U.S. Commercial Construction Industry
Thermal diffusivity measurements with fluorescent scanning microscope,Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys
Thermal diffusivity measurements with fluorescent scanning microscope,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition
Thermal diffusivity measurements with fluorescent scanning microscope,"The need, development, and validation of the innovation test instrument"
Thermal diffusivity measurements with fluorescent scanning microscope,In situ bubble characterization during resin infusion for process simulation of voids
Thermal diffusivity measurements with fluorescent scanning microscope,Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks
Thermal diffusivity measurements with fluorescent scanning microscope,Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors
Thermal diffusivity measurements with fluorescent scanning microscope,Ground-based 3D radar imaging of trees using a 2D synthetic aperture
Thermal diffusivity measurements with fluorescent scanning microscope,Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR
Thermal diffusivity measurements with fluorescent scanning microscope,Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments
Thermal diffusivity measurements with fluorescent scanning microscope,Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences
Open source computational photonics toolbox,Design and characterization of integrated 2D ABEL trap
Open source computational photonics toolbox,Modeling global and local codon bias with deep language models
Open source computational photonics toolbox,Semantic style creation
Open source computational photonics toolbox,A minimal realization technique for the dynamical structure function of a class of LTI systems
Open source computational photonics toolbox,MMI waveguide based multispectral detection of nucleic acids for analysis of drug-resistant bacteria
Demonstration of interference pattern structured illumination imaging,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs"
Using instagram to increase student engagement with design history,Simulations in Construction and Engineering Management Education to Explore Professional Challenges
Using instagram to increase student engagement with design history,Realizing origami mechanisms from metal sheets
Using instagram to increase student engagement with design history,"An assessment of village drill sustainability, with recommendations"
Using instagram to increase student engagement with design history,Design education and the new culture of design centric intellectual property
Using instagram to increase student engagement with design history,Plain-Style Preferences of US Professionals
Using instagram to increase student engagement with design history,Technology and design programs
Using instagram to increase student engagement with design history,Integrating a multidisciplinary design methods mindset into classroom practice
Using instagram to increase student engagement with design history,A simple starting point for designing for and/or assessing the social impact of products
Using instagram to increase student engagement with design history,Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects
Using instagram to increase student engagement with design history,Student perceptions and attitudes towards a required vs. An optional course in leadership
Increasing the educational impact following a field study programme,Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction
Increasing the educational impact following a field study programme,Realizing origami mechanisms from metal sheets
Increasing the educational impact following a field study programme,A simple starting point for designing for and/or assessing the social impact of products
Increasing the educational impact following a field study programme,Student perceptions and attitudes towards a required vs. An optional course in leadership
Increasing the educational impact following a field study programme,Simulations in Construction and Engineering Management Education to Explore Professional Challenges
Increasing the educational impact following a field study programme,Design for excess capability to handle uncertain product requirements in a developing world setting
Increasing the educational impact following a field study programme,A model workshop for helping new faculty engage students in the STEM Classroom
Increasing the educational impact following a field study programme,Strategies employed and lessons learned by commercial construction companies during economic recession and recovery
Increasing the educational impact following a field study programme,Review of research on student-facing learning analytics dashboards and educational recommender systems
Increasing the educational impact following a field study programme,Sell it: Design project assessment by the public
Increasing the educational impact following a field study programme,Integrating a multidisciplinary design methods mindset into classroom practice
Increasing the educational impact following a field study programme,"An assessment of village drill sustainability, with recommendations"
Increasing the educational impact following a field study programme,Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects
Increasing the educational impact following a field study programme,Design education and the new culture of design centric intellectual property
Increasing the educational impact following a field study programme,Technology and design programs
Information reduction and studio project frameworks,Design education and the new culture of design centric intellectual property
Information reduction and studio project frameworks,A model workshop for helping new faculty engage students in the STEM Classroom
Information reduction and studio project frameworks,A simple starting point for designing for and/or assessing the social impact of products
Information reduction and studio project frameworks,Simulations in Construction and Engineering Management Education to Explore Professional Challenges
Information reduction and studio project frameworks,Integrating a multidisciplinary design methods mindset into classroom practice
Information reduction and studio project frameworks,Realizing origami mechanisms from metal sheets
Information reduction and studio project frameworks,Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction
Information reduction and studio project frameworks,Sell it: Design project assessment by the public
Information reduction and studio project frameworks,Design for excess capability to handle uncertain product requirements in a developing world setting
Information reduction and studio project frameworks,Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects
Information reduction and studio project frameworks,Semantic style creation
Information reduction and studio project frameworks,Review of research on student-facing learning analytics dashboards and educational recommender systems
Information reduction and studio project frameworks,Student perceptions and attitudes towards a required vs. An optional course in leadership
Information reduction and studio project frameworks,"An assessment of village drill sustainability, with recommendations"
Information reduction and studio project frameworks,Technology and design programs
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,In situ bubble characterization during resin infusion for process simulation of voids
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Ground-based 3D radar imaging of trees using a 2D synthetic aperture
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,"The need, development, and validation of the innovation test instrument"
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,The scaled SLW model of gas radiation in non-uniform media
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys
Modeling and using secondary taste terms,"The need, development, and validation of the innovation test instrument"
Modeling and using secondary taste terms,Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments
Modeling and using secondary taste terms,Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors
Modeling and using secondary taste terms,Ground-based 3D radar imaging of trees using a 2D synthetic aperture
Modeling and using secondary taste terms,The scaled SLW model of gas radiation in non-uniform media
Modeling and using secondary taste terms,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition
Modeling and using secondary taste terms,Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys
Modeling and using secondary taste terms,Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR
Modeling and using secondary taste terms,Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences
Modeling and using secondary taste terms,In situ bubble characterization during resin infusion for process simulation of voids
Modeling and using secondary taste terms,Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks
Modeling and using secondary taste terms,Use of Personality Profile Assessments in the U.S. Commercial Construction Industry
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Optical electric field sensor sensitivity direction rerouting and enhancement using a passive integrated dipole antenna
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Counter UAS using a formation controlled dragnet
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Highly compressible origami bellows for microgravity drilling-debris containment
"Exploration of three dimensional, hierarchical, large scale UAV system interactions","A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace"
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Efficient feature descriptor for unmanned aerial vehicle ground moving object tracking
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",A Comparison of Indoor MIMO Measurements and Ray-Tracing at 24 and 2.55 GHz
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Relative target estimation using a cascade of extended Kalman filters
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Deep visual gravity vector detection for unmanned aircraft attitude estimation
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Small aircraft flight encounters database for UAS sense and avoid
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",The use of unmanned aerial vehicles and structures from motion to measure the volume change at a deep dynamic compaction site
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",Simulation and exploration of high-density unmanned aerial vehicle systems
High Accuracy Achieved in Determining Lengths and Locations of Horizontal Curves Using Light Detection and Ranging Point Cloud Data,Analytical fragility curves for non-skewed highway bridges in Chile
High Accuracy Achieved in Determining Lengths and Locations of Horizontal Curves Using Light Detection and Ranging Point Cloud Data,Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities
High Accuracy Achieved in Determining Lengths and Locations of Horizontal Curves Using Light Detection and Ranging Point Cloud Data,Implementing highway safety manual life-cycle benefit–cost analysis of safety improvements
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Nonparametric Tree-Based Predictive Modeling of Storm Outages on an Electric Distribution Network
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Small aircraft flight encounters database for UAS sense and avoid
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Cross platform usability: Evaluating computing tasks performed on multiple platforms
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Near-to-eye electroholography via guided-wave acousto-optics for augmented reality
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Enabling Dissimilar Material Joining Using Friction Stir Scribe Technology
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Light splitting with imperfect wave plates
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,"The human touch: How non-expert users perceive, interpret, and fix topic models"
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,Three-dimensional microscopic light field particle image velocimetry
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties","Hierarchically refined and coarsened splines for moving interface problems, with particular application to phase-field models of prostate tumor growth"
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",Thick rigidly foldable origami mechanisms based on synchronized offset rolling contact elements
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",Microstructure Correlation with Formability for Biaxial Stretching of Magnesium Alloy AZ31B at Mildly Elevated Temperatures
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",In-situ grain structure and texture evolution during friction stir welding of austenite stainless steel
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",A comparison of model predictive control and PID temperature control in friction stir welding
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",The AFLOW Library of Crystallographic Prototypes: Part 1
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",Enabling Dissimilar Material Joining Using Friction Stir Scribe Technology
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties","Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension"
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",Automatic model calibration for drilling automation
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests
Solid state crack repair by friction stir processing in 304L stainless steel,Enabling Dissimilar Material Joining Using Friction Stir Scribe Technology
Solid state crack repair by friction stir processing in 304L stainless steel,Pull-out strength of composite rebar made using a three-dimensional braiding machine
Solid state crack repair by friction stir processing in 304L stainless steel,Automatic model calibration for drilling automation
Solid state crack repair by friction stir processing in 304L stainless steel,A comparison of model predictive control and PID temperature control in friction stir welding
Solid state crack repair by friction stir processing in 304L stainless steel,Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys
Solid state crack repair by friction stir processing in 304L stainless steel,Thick rigidly foldable origami mechanisms based on synchronized offset rolling contact elements
Solid state crack repair by friction stir processing in 304L stainless steel,"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths"
Solid state crack repair by friction stir processing in 304L stainless steel,Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests
Solid state crack repair by friction stir processing in 304L stainless steel,Discovering the building blocks of atomic systems using machine learning: Application to grain boundaries
Solid state crack repair by friction stir processing in 304L stainless steel,Comprehensive and quality-controlled bedload transport database
Solid state crack repair by friction stir processing in 304L stainless steel,In-situ grain structure and texture evolution during friction stir welding of austenite stainless steel
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,On the design of a square-root nyquist pulse shaping filter for aeronautical telemetry
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Design of low-power ultra-high voltage gain differential cascode stages
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Space-Time Coding for Aeronautical Telemetry: Part i - Estimators
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Optimizing coded 16-APSK for aeronautical mobile telemetry
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,Active Integrated Antenna Supporting Linear and Circular Polarizations
Physical-layer security for aeronautical telemetry,Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
Physical-layer security for aeronautical telemetry,Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry
Physical-layer security for aeronautical telemetry,Space-Time Coding for Aeronautical Telemetry: Part i - Estimators
Physical-layer security for aeronautical telemetry,On the design of a square-root nyquist pulse shaping filter for aeronautical telemetry
Physical-layer security for aeronautical telemetry,Optimizing coded 16-APSK for aeronautical mobile telemetry
Physical-layer security for aeronautical telemetry,A fast-running simulation tool for axisymmetric oxy-coal combustors
Physical-layer security for aeronautical telemetry,Layering Security at Global Control Points to Secure Unmodified Software
Femtosats: Elegant flight telemetry payloads for model rockets,Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
Femtosats: Elegant flight telemetry payloads for model rockets,Optimizing coded 16-APSK for aeronautical mobile telemetry
Femtosats: Elegant flight telemetry payloads for model rockets,Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry
Eliminating wiring in aircraft instrumentation through energy harvesting,Water entry of deformable spheres
Eliminating wiring in aircraft instrumentation through energy harvesting,Tuning Ferritin's band gap through mixed metal oxide nanoparticle formation
Eliminating wiring in aircraft instrumentation through energy harvesting,Preliminary investigation of multilobe fighter jet noise sources using acoustical holography
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Use of Personality Profile Assessments in the U.S. Commercial Construction Industry
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,The scaled SLW model of gas radiation in non-uniform media
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,In situ bubble characterization during resin infusion for process simulation of voids
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,"The need, development, and validation of the innovation test instrument"
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys
Three approaches for managing stiffness in origami-inspired mechanisms,"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths"
Three approaches for managing stiffness in origami-inspired mechanisms,Rigidly foldable quadrilateral meshes from angle arrays
Three approaches for managing stiffness in origami-inspired mechanisms,Split-vertex technique for thickness-accommodation in origami-based mechanisms
Three approaches for managing stiffness in origami-inspired mechanisms,Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests
Three approaches for managing stiffness in origami-inspired mechanisms,Kinematics and discretization of curved-fold mechanisms
Three approaches for managing stiffness in origami-inspired mechanisms,Towards a universal social impact metric for engineered products that alleviate poverty
Three approaches for managing stiffness in origami-inspired mechanisms,A simple starting point for designing for and/or assessing the social impact of products
Three approaches for managing stiffness in origami-inspired mechanisms,Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds
Three approaches for managing stiffness in origami-inspired mechanisms,Optimization of origami-based tubes for lightweight deployable structures
Three approaches for managing stiffness in origami-inspired mechanisms,Variable stiffness adaptation to mitigate system failure in inflatable robots
Three approaches for managing stiffness in origami-inspired mechanisms,Design of low-power ultra-high voltage gain differential cascode stages
Three approaches for managing stiffness in origami-inspired mechanisms,"Multi-objective design optimization of a soft, pneumatic robot"
Three approaches for managing stiffness in origami-inspired mechanisms,Elastic energy absorption of origami-based corrugations
Three approaches for managing stiffness in origami-inspired mechanisms,A framework for energy-based kinetostatic modeling of compliant mechanisms
Three approaches for managing stiffness in origami-inspired mechanisms,"An assessment of village drill sustainability, with recommendations"
Three approaches for managing stiffness in origami-inspired mechanisms,Fundamental Principles of Tremor Propagation in the Upper Limb
Origami-based design of conceal-and-reveal systems,Design of low-power ultra-high voltage gain differential cascode stages
Origami-based design of conceal-and-reveal systems,A simple starting point for designing for and/or assessing the social impact of products
Origami-based design of conceal-and-reveal systems,A framework for energy-based kinetostatic modeling of compliant mechanisms
Origami-based design of conceal-and-reveal systems,Inferring ascending auction participation from observed bidders
Origami-based design of conceal-and-reveal systems,"The human touch: How non-expert users perceive, interpret, and fix topic models"
Origami-based design of conceal-and-reveal systems,"Multi-objective design optimization of a soft, pneumatic robot"
Origami-based design of conceal-and-reveal systems,Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds
Origami-based design of conceal-and-reveal systems,Kinematics and discretization of curved-fold mechanisms
Origami-based design of conceal-and-reveal systems,Elastic energy absorption of origami-based corrugations
Origami-based design of conceal-and-reveal systems,Split-vertex technique for thickness-accommodation in origami-based mechanisms
Origami-based design of conceal-and-reveal systems,Towards a universal social impact metric for engineered products that alleviate poverty
Origami-based design of conceal-and-reveal systems,Optimization of origami-based tubes for lightweight deployable structures
Origami-based design of conceal-and-reveal systems,Rigidly foldable quadrilateral meshes from angle arrays
Origami-based design of conceal-and-reveal systems,"An assessment of village drill sustainability, with recommendations"
Automating the design of thick-origami mechanisms,Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems
Automating the design of thick-origami mechanisms,"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD"
Automating the design of thick-origami mechanisms,"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application"
Automating the design of thick-origami mechanisms,"An assessment of village drill sustainability, with recommendations"
Automating the design of thick-origami mechanisms,Associative CAD references in the neutral parametric canonical form
Automating the design of thick-origami mechanisms,"Multi-objective design optimization of a soft, pneumatic robot"
Automating the design of thick-origami mechanisms,Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts
Automating the design of thick-origami mechanisms,A simple starting point for designing for and/or assessing the social impact of products
Automating the design of thick-origami mechanisms,A multi-user computer-aided design competition: Experimental findings and analysis of team-member dynamics
Automating the design of thick-origami mechanisms,Towards a universal social impact metric for engineered products that alleviate poverty
Retractable anti-buckling support systems for flexible medical devices,Design of low-power ultra-high voltage gain differential cascode stages
Retractable anti-buckling support systems for flexible medical devices,Elastic energy absorption of origami-based corrugations
Retractable anti-buckling support systems for flexible medical devices,Inferring ascending auction participation from observed bidders
Retractable anti-buckling support systems for flexible medical devices,Rigidly foldable quadrilateral meshes from angle arrays
Retractable anti-buckling support systems for flexible medical devices,"The human touch: How non-expert users perceive, interpret, and fix topic models"
Retractable anti-buckling support systems for flexible medical devices,A simple starting point for designing for and/or assessing the social impact of products
Retractable anti-buckling support systems for flexible medical devices,Review of research on student-facing learning analytics dashboards and educational recommender systems
Retractable anti-buckling support systems for flexible medical devices,Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds
Retractable anti-buckling support systems for flexible medical devices,"Multi-objective design optimization of a soft, pneumatic robot"
Retractable anti-buckling support systems for flexible medical devices,A framework for energy-based kinetostatic modeling of compliant mechanisms
Retractable anti-buckling support systems for flexible medical devices,"An assessment of village drill sustainability, with recommendations"
