Paper,Reviewers
Polarization diversity and equalization of frequency selective channels in telemetry environment for 16APSK,9277159100;57207110219;7007155092
Characterization and validation of in situ void formation during resin infusion,56680952700;57212950333;57215031057
Characteristics of self-deployment in origami-based systems,57195420301;57196484337;54415193700
Deployable euler spiral connectors (DESCs),57204719691;57203978933;57207689986
Cylindrical developable mechanisms for minimally invasive surgical instruments,6603615600;57218102993;57192307368
Factors leading to sustainable social impact on the affected communities of engineering service learning projects,56244640900;57117361200;23050937200
Conceptualizing stable states in origami-based devices using an energy visualization approach,8533888200;7005513246;57198146081
Thick folding through regionally-sandwiched compliant sheets,6507358470;57210289242;7004300863
Benefits of a short-term engineering study abroad: A survey of students over the past 15 years,57204761536;7006372151;8421746800
Kirigami-based deployable transcrease hard stop models usable in origami patterns,57218202833;57191362366;57204728159
Fabrication and testing of a MEMS system for injection of DNA into plant cells,57204728159;57207312334;57204719621
Machine learning for evaluating the social impact of engineered products: A framework,57192961253;36176552000;57216076371
Simulation of a micro-electro-mechanical system for generating electrical power from pressurized gas,57205507684;57204719691;55652695700
Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,57204761536;15831070600;57212351859
Advances in Signal Processing for Friction Stir Welding Temperature Control,7401969039;57214365851;57203943386
Dynamic optimization of high-altitude solar aircraft trajectories under station-keeping constraints,7410190129;57193099661;6508306234
A neutral XML design framework for generating parametric parts in multiple CAD systems,57204762755;56331127200;55634592700
Measurement of radiative gas and particle emissions in biomass flames,57194391871;57197726868;7201741468
3D printed selectable dilution mixer pumps,57209530205;57023931200;57200534297
Using ellipsometry and X-ray photoelectron spectroscopy for real-time monitoring of the oxidation of aluminum mirrors protected by ultrathin MgF2 layers,7102843798;57202040530;13406135400
3D printing for lab-on-a-chip devices with 20 μm channels,56709287700;56702333100;7202812767
Best practices for wake model and optimization algorithm selection in wind farm layout optimization,57197791798;57201367093;57200534297
Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,56330970800;7003381644;57191570988
Thermal properties of thin film uranium oxides and thorium oxides,57203572325;57191110417;56709476900
Effects of laser ablation parameters to pattern high purity magnesium surfaces,57205257595;8705255200;57200884469
Radial variation in distortion transfer and generation in a highly loaded fan stage from near-stall to choke,7202035366;55807316700;57204032253
Evaluation and demonstration of take home laboratory kit,6507358470;57218202833;7005513246
Increasing Inducer Stability and Suction Performance With a Stability Control Device,57190371042;56156055700;24830555500
Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,57197710678;36176552000;57209165874
One-dimensional turbulence modelling of a lifted methane/air jet flame in a vitiated coflow,57202293242;35612908400;7004495126
Changes in perceptions of ethical climate among undergraduate engineering students,56740595400;57204029674;9535406000
"“Something isn't secure, but I'm not sure how that translates into a problem”: Promoting autonomy by designing for understanding in Signal",57215116223;57207980336;34868168700
A methodology for analyzing intersection safety,12445742400;6701720294;57198919773
Safe2Ditch: Emergency landing for small unmanned aircraft systems,23570183200;57215609504;6506311950
Single particle detection enhancement with wavelet-based signal processing technique,35182844400;7003302831;57218202833
A comparative usability study of key management in secure email,57205762398;57208771517;57204029674
Passive Force-Deflection Curves for Controlled Low-Strength Material (CLSM) and Lightweight Cellular Concrete (LCC),57218202833;57196487336;57197791798
Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,57215058041;56260937200;7006038251
User attitudes toward the inspection of encrypted traffic,57201397713;57205285400;57215116223
Weighing Context and Trade-offs: How suburban adults selected their online security posture,34868168700;56102505100;36682113800
Do capstone students really understand the needs of the customer?: Observations on students’ blind spots left by early program curriculum,56331127200;36602439100;55249877500
The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,57194006378;56300864300;35409277700
The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,57204031131;6701460244;7004234161
Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,7201741468;57189294915;57205388766
Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,6701863708;57202648414;55457444300
Using a Product's Sustainability Space as a Design Exploration Tool,8421746800;57208184650;57219312906
Broadband antireflective light-blocking layer using nanoparticle suspension in photoresist with high-resolution patterning,57203943386;55345299700;57209912956
A CAD assembly simplification approach with ray casting,6603717022;6602198438;57201772566
Overestimation of liquefaction hazard in areas of low to moderate seismicity due to improper characterization of probabilistic seismic loading,24080990600;23570183200;57203185550
Strategies for Removing Common Mode Failures from TMR Designs Deployed on SRAM FPGAs,24726409500;8342785400;37098602100
High surface-area carbon microcantilevers,57218593446;55233755100;7003545107
Experimental characterization of leaky-mode spatial light modulators fabricated via direct laser writing,57215031057;57188667076;6602577617
Multi-timescale pump-probe spectroscopy using time-encoding and time-stretching methods,57218875152;7202316035;57210290270
Accelerating high-throughput searches for new alloys with active learning of interatomic potentials,7005371369;55359526600;57214855898
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",55252859600;10141271600;57201367093
Development and testing of an innovative architectural programming simulation as a precursor to target value design,6506484066;7005513246;6602562656
Adaptive control of large-scale soft robot manipulators with unknown payloads,10141271600;7003381644;12646372900
Three-way spectral decompositions of high-performance military aircraft noise,56256103500;57218591162;16422844400
Expanding the far UV range of aluminum-coated mirrors for space-based observations to reflect hydrogen Lyman lines via fluoride multilayers,57191586637;6701755273;57196277369
Crackle-related beamforming of military jet aircraft noise,57218202833;6602649851;6506328689
Coherence analysis of the noise from a simulated highly-heated laboratory-scale jet,7005513246;12646372900;7004904337
The fog of warnings: How non-essential notifications blur with security warnings,57204032253;57205761514;57204031131
Testing and analysis of masonry hollow clay block prisms filled with mortar,6508306234;55812232700;57200525944
A robust ensemble feature selector based on rank aggregation for developing new VO2max prediction models using support vector machines,35099253600;7202518970;7102523474
Optofluidic platform with integrated optical waveguides and sample preparation for digitized detection of nucleic acid targets,57194158491;57193834529;57205388766
Data-driven dynamic equivalents for power system areas from boundary measurements,56957771800;57218886153;8621794000
Regular 2D and 3D linkage-based origami tessellations,57192300416;8231832400;57208255032
Rigidly foldable thick origami using designed-offset linkages,57194006378;57192307368;16229559200
"Compositional MRI of the Hip: Reproducibility, Effect of Joint Unloading, and Comparison of T2 Relaxometry with Delayed Gadolinium-Enhanced Magnetic Resonance Imaging of Cartilage",57201772566;7402407628;57191587072
Developable mechanisms on developable surfaces,7006441571;7006533953;57212341630
Microcontroller compiler-assisted software fault tolerance,56642521500;6508147112;57201360985
Selective hardening for neural networks in FPGAs,35597296700;57208710317;57215607275
High-acquisition-rate single-shot pump-probe measurement using chirped-fiber Bragg gratings,57218883196;57218591162;57218202833
Numerical analyses of mortar incorporating the variation in Poisson’s ratio with increasing axial load,8660143800;57217139231;9277159100
A design approach to fully compliant multistable mechanisms employing a single bistable mechanism,57205257595;57208524360;57195343816
When official systems overload: A framework for finding social media calls for help during evacuations,7005513246;7005523706;57190404271
Orthogonal liquid-jet impingement on wettability-patterned impermeable substrates,57200686665;57217581937;55665625900
Folding approaches for tensioned precision planar shell structures,14033673100;56248593800;57194034271
"Mexico City Basin Effects: Past, Present, and Future",26640997500;53866135200;57208012227
Requirements for software to support the use of social media in emergency management: A Delphi study,9336961600;56819566000;16178649400
Locally correlated slw model for prediction of gas radiation in non-uniform media,8608764300;55813139600;6602198438
Accuracy of engineering methods for radiative transfer in CO2-H2O mixtures at high temperature,43961414900;57216430816;57215333932
Assessment of engineering gas radiative property models in high pressure turbulent jet diffusion flames,26641352100;8935514400;34868658300
"Creating open source models, test cases, and data for oilfield drilling challenges",24830555500;57208771517;7004904337
Traverses for the ISECG-GER design reference mission for humans on the lunar surface,57188691775;7005513246;57188681207
Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,57190228554;57208246750;7003292762
Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,8342785400;57215432728;57197728435
Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,57191921086;6701421652;57189235340
Influence of Communication Irregularities and Co-simulation on Hybrid Power System State Estimation,57189491950;57205348362;57218886189
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,7102985794;56702333100;57194155925
Evaluating Safety Impacts of Access Management Alternatives with the Surrogate Safety Assessment Model,57212151348;57217866402;55665473200
Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,7003292762;57199801999;8357777200
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,57218202833;7004609408;56896919700
A model for multi-input mechanical advantage in origami-based mechanisms,7005513246;6701610428;57214076898
Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,57201759181;57208598187;57215031057
Spectrum allocations: The aeronautical telemetry story in the USA,57219001134;57211254337;57218995344
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,34874297000;7410171017;57191256797
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,56363360200;55736791400;57193834529
"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",55487415500;57192318731;57218202833
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,57192643299;16422844400;36924577900
Exploration and evaluation of CAD modeling in virtual reality,57204032253;7003381644;57215684781
An optical method for the measurement of combustion gas temperature in particle laden flows,56584019300;57200203866;7005513246
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,57188755995;57198450286;55812232700
Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,8448666000;56086163900;57193727615
Error correction in structured optical receivers,19638969800;18038642000;57200118993
Column axial load effects on the performance of skewed SMF RBS connections,57198919773;57208524360;7403218372
Tutorial on interpreting x-ray photoelectron spectroscopy survey spectra: Questions and answers on spectra from the atomic layer deposition of Al2O3 on silicon,57205767010;7201970805;56714263700
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,57031532600;55848648600;55837442300
Controlling normal stiffness in droplet-based linear bearings,6602889035;7102317656;6701610428
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,57218221803;57200515115;35994294500
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",7402658393;6603907334;57209473859
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,6603410853;57218886193;55916448500
Flexural strength and stiffness of block-out connections for steel columns,57215031057;55369699900;57203980107
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,57202367046;57193409777;57203192064
"Active Topology Inference in Store, Code, and Forward Networks",57210288854;57204692730;57217041570
On peak-to-average power ratio optimization for coded APSK,57210288045;57211254337;55710750200
Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression,57212103171;26538762200;57211642778
Identification and Prioritization of Critical Subject Matter within Mechanical Systems Curriculum in Construction Management Education,55585953300;8935514400;57189294915
Efficiency of Generalized Regular k-point grids,57191570988;56248593800;56622088300
Rapid Operational Access and Maneuver Support platform for military logistics and operation planning in water environments,7004450337;56857577200;57198146081
Lead sulfide quantum dots inside ferritin: synthesis and application to photovoltaics,24923036100;57202445593;57191586637
A pseudo-static model for dynamic analysis on frequency domain of distributed compliant mechanisms,57196372172;56489679500;55972769000
Effect of strain path on forming limits and retained austenite transformation in Q&P 1180 steel,57201634652;6506269903;23099630500
Deployable lenticular stiffeners for origami-inspired mechanisms,7801676127;56798055200;7004060735
Engineering attitudes: an investigation of the effect of literature on student attitudes toward engineering,57212343330;57195964763;6603570606
Total hemispherical apparent radiative properties of the infinite V-groove with specular reflection,57211105311;55764744500;57196000820
Synthesis of high-specific volume carbon nanotube structures for gas-phase applications,57196655805;57193338296;57202116348
Natural frequencies of piled raft foundation including superstructure effect,57218105310;38061138100;56371366400
Biomechanical modeling of prosthetic mesh and human tissue surrogate interaction,57207228809;56681156600;7102405529
Autonomous target following with monocular camera on UAS using Recursive-RANSAC tracker,57205388766;57209640119;56681156600
Learned Search Parameters for Cooperating Vehicles using Gaussian Process Regressions,55864283000;55649569259;57216486642
Zipper Tube Reinforcement to Mitigate Flexible Shaft Buckling,57217339723;57193727615;57202627167
Modified Material Properties in Curved Panels Through Lamina Emergent Torsional Joints,57212088299;57198333909;57208524360
An Origami-based Thickness-Accommodating Bistable Mechanism in Monolithic Thick-sheet Materials,56489679500;57195804520;57192710054
Implementation of Rolling Contacts for SORCE Joints,8935514400;6506484066;7004495126
The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,7102443026;7005251917;6602089995
Buried Rib SiO2 Multimode Interference Waveguides for Optofluidic Multiplexing,57203269936;7006583274;57209978209
Improved Track Continuity in Multi Target Tracking by Fusing Multiple Input Sources,57216491948;57201357657;6507358470
Visual Multiple Target Tracking from a Descending Aerial Platform,57202810627;6603286802;56287595000
A Class of Logistic Functions for Approximating State-Inclusive Koopman Operators,8935514400;57218202833;8244752200
Extending Motion Detection to Track Stopped Objects in Visual Multi-Target Tracking,6508339625;35792700800;57195066838
Movie recommendations using the deep learning approach,9336961600;57209538650;55354928800
A graduate school recommendation system using the multi-class support vector machine and KNN approaches,57202743127;57191110417;57216181629
Relative Navigation: A Keyframe-Based Approach for Observable GPS-Degraded Navigation,55301279200;7101816954;35873737200
One-dimensional turbulence modeling for cylindrical and spherical flows: model formulation and application,56692412900;56818839700;55949256500
Developable compliant-aided rolling-contact mechanisms,12778890800;57212345817;7003663333
A Rateless Approach to Physical-Layer Security,6603288835;57212106857;57204695840
Nested QPSK Encoding for Information Theoretic Security,7003868048;7402967162;57202612841
A Tale of Two Studies: The Best and Worst of YubiKey Usability,57200118672;57215598228;54911216200
The Future of R&D Leadership: Wider changes in the culture and the market will drive changes in the practice of R&D leadership.,57218202833;56556056000;57160053200
Mining social media divides: an analysis of K-12 U.S. School uses of Twitter,56709476900;57205388766;36499438800
Design and characterization of a package-less hybrid PDMS-CMOS-FR4 contact-imaging system for microfluidic integration,7402967162;7003292762;7004277402
Secure Array Synthesis in Multipath Channels,57217339723;55912340300;57218202833
Comparison of calibrated empirical and semi-empirical methods for bedload transport rate prediction in gravel bed streams,55649569259;8372868700;57194034271
A Multimodal Exploration of Engineering Students' Emotions and Electrodermal Activity in Design Activities,57191110417;7005836251;57194697486
Kinetostatic modeling of complex compliant mechanisms with serial-parallel substructures: A semi-analytical matrix displacement method,15848771600;6701720294;57195591421
"3D printed microfluidic features using dose control in X, Y, and Z dimensions",57204434337;57218591162;7410190129
A cognitive approach to predicting academic success in computing,7201741468;57193564939;57216531463
Increasing student construction interest by engaging elementary students in an inquiry-based 3D modelling after school program,7005513246;36149254500;57210911049
Outreach potential of displaying research artifacts in art museums,57189491950;57193266780;24295291100
Intensive mentoring and micro-electronics research for students in engineering (IMMERSE),9277159100;57201366662;57205503531
Transitioning a manufacturing systems engineering course to student-centered learning,54782837300;57203309361;56677251600
Assessment of a global engineering outreach course,6602191934;6507336034;57192941583
Understanding engineering and technology student perceptions: Barriers to study abroad participation,57212345817;57195960835;23569552400
Designing a sustainable large-scale project-based learning (PBL) experience for juniors in electrical and computer engineering,7401969039;7004904337;57193568214
Investigating influences on first-year engineering students' views of ethics and social responsibility,57204029674;36055605700;56362659400
A longitudinal study of social and ethical responsibility among undergraduate engineering students: Comparing baseline and midpoint survey results,6507336034;57202776341;57205629789
Lowman's model goes back to the movies,35262249500;55860312700;55948963100
Crafting the future of computing education in CC2020: A workshop,57203309361;55542008600;6508306234
Crystallographic Reconstruction of Parent Austenite Twin Boundaries in a Lath Martensitic Steel,57217581770;56584019300;57203184524
Bézier B̄ projection,6701863708;56781290700;57203142381
Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments,56824897200;7202083837;36176552000
Direct Measurement of High-Gain and Complementary Charge-Steering Amplifiers,57193008289;57194391871;9277159100
Twining and dynamic recrystallization in austenitic Alloy 718 during friction welding,23983490300;57023931200;53878508900
Bubble nucleation in superhydrophobic microchannels due to subcritical heating,57203308821;57217581937;56709287700
Measuring User Perceptions of Popular Transportation Project Delivery Methods Using Least Significant Difference Intervals and Multiple Range Tests,56556056000;57203240784;8421746800
Optimized ARROW-Based MMI Waveguides for High Fidelity Excitation Patterns for Optofluidic Multiplexing,7406552522;57002749600;50262207100
Membrane-Enhanced Lamina Emergent Torsional Joints for Surrogate Folds,57216181629;57212383793;57212379321
High-Strength Concrete Masonry Walls under Concentric and Eccentric Loadings,57201257192;54782837300;6506269903
Inverse piezoresistive nanocomposite sensors for identifying human sitting posture,57201983321;57210161259;57211205845
Volumetric displays,16422844400;57208255032;57195066838
Systems analysis of EV adoption and criteria pollutant accumulation during inversion events,56009607700;55849071700;57202609763
ENIGMA military brain injury: A coordinated meta-analysis of diffusion MRI from multiple cohorts,6701387944;48361087900;6507586174
"Midtarsal locking, the windlass mechanism, and running strike pattern: A kinematic and kinetic assessment",57190794386;56875089300;56260937200
Fabrication of High Aspect Ratio Millimeter-Tall Free-Standing Carbon Nanotube-Based Microelectrode Arrays,57194636792;14064679200;57194155925
Non-dimensional modeling of the effects of weld parameters on peak temperature and cooling rate in friction stir welding,57201700890;6507358470;57208598187
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry,56709364700;6701777223;56330970800
Estimated Time of Restoration (ETR) Guidance for Electric Distribution Networks,7004307869;56703308500;56532087700
Effect of environmental and material factors on the response of nanocomposite foam impact sensors,8533888200;57198431633;57196487336
Low Temperature Oxidative Dehydrogenation of Ethane by Ce-Modified NiNb Catalysts,57195921912;57201700890;57208341600
Scalable fabric tactile sensor arrays for soft bodies,19639917400;57195420301;57188173800
Effectiveness of an Immersive Virtual Environment for Collaboration with Gesture Support Using Low-Cost Hardware,57191107247;57215607275;6601908155
Antireflective light-blocking layers using a liquid top matte coating,57212089454;57188755995;56896919700
Vertical electrical impedance testing of a concrete bridge deck using a rolling probe,57197800472;57218105310;7005513246
Rigidly foldable quadrilateral meshes from angle arrays,6701834327;57215904613;57210916608
Toward a Universal Social Impact Metric for Engineered Products That Alleviate Poverty,8421746800;26641352100;57212167791
Dual-wavelength reflectance spectroscopy of the superior vena cava: A method for placing central venous catheters at the cavoatrial junction,6602335448;56155127800;56364369100
Investigating the safety impact of roadway network features of suburban arterials in Shanghai,37105487900;57218591162;7405891981
Information geometry for model identification and parameter estimation in renewable energy - DFIG plant case,57204799155;56245452300;25522430900
Predicting the maximum endurance time for left-side bridge exercise using machine learning methods and hybrid data,57211281996;6601908155;8715877100
CrsRecs: A personalized course recommendation system for college students,57211282830;56148594700;6602577617
Using tripartite graphs to make long tail recommendations,56767836200;56102505100;57201772566
Texture mediated grain boundary network design in three dimensions,7003587356;56622088300;8608718200
Lab-scale observations of flame attachment on slopes with implications for firefighter safety zones,35612908400;55542008600;57214937519
Swarm Transparency,35175200200;57209567638;55634592700
"Geotechnical extreme-event reconnaissance (GEER) investigation to the 2016 Mw 6.0, Mw 6.2 and Mw 7.0 Kumamoto Japan Earthquakes",57194008450;56976354400;47962305800
"3D printed high density, reversible, chip-to-chip microfluidic interconnects",12142543700;24333330300;57207222602
The Locational Impact of Site-Specific PEGylation: Streamlined Screening with Cell-Free Protein Expression and Coarse-Grain Simulation,57218095797;56165315000;56556056000
Architecture exploration for HLS-oriented FPGA debug overlays,57204470823;57191921086;56404157200
A dual sensor selective for Hg2+ and cysteine detection,57193834529;57216181629;57194047397
Hybrid power system state estimation with irregular sampling,7004904337;57210260262;57190404271
On the well-posedness of LTI networks,57191620725;7004904337;57210260262
Necessary and sufficient conditions for identifiability of interconnected subsystems,7004495126;57195286623;57191587072
Local control and estimation performance in dynamical networks: Structural and graph-theoretic results,7006542177;7004904337;57212106357
A comparative analysis of computer-aided design team performance with collaboration software,57197765353;7404766197;57194006378
Materials selection of flexible open-cell foams in energy absorption applications,55272011900;57218202833;57193015007
"Grain structure evolution, grain boundary sliding and material flow resistance in friction welding of Alloy 718",57200515115;7005098852;6602889035
Hybrid state transactional database for product lifecycle management features in a multi-engineer synchronous heterogeneous CAD environment,57198146081;8208317300;57194205673
Moment method analysis of a reconfigurable OTA reverberation chamber,55487415500;6506736843;24830555500
Rapid visualization of compressor blade finite element models using surrogate modeling,57201257192;57215613881;23027991800
Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,6602649851;55949256500;9245406100
Evaluation of curve fitting techniques for estimating time of surcharge release in embankment construction over soft soils,57210287166;57202585105;36167063600
Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,56798055200;57201759181;57193574682
Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,6701863708;8448666000;57218202833
Mixing plane simulation of a high-performance fan using kestrel,57211105311;7202812767;6508087756
Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis,55542008600;34874297000;57203661089
The secure socket API: TLS as an operating system service,57212209717;55860312700;57212107036
3D printed microfluidic selectable ratio mixer pump in 2 mm3,57209399454;57192945685;57205767010
Sediment management in U.S. reservoirs: Challenges and progress [Gestion des sédiments dans les retenues américaines: Défis et progrès],57204677555;25522430900;35435170000
Thermal diffusivity measurements with fluorescent scanning microscope,57209473859;6508339625;57213262958
Open source computational photonics toolbox,57218481091;57195398251;57202112010
Progress on photophoretic trap displays,6507336034;57205393448;57218202833
Demonstration of interference pattern structured illumination imaging,57201772566;57208246750;7003292762
Using instagram to increase student engagement with design history,57211282830;57200641848;57218202833
Increasing the educational impact following a field study programme,57212271159;34873482400;6602649851
Information reduction and studio project frameworks,56703308500;57205762398;57202445593
GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,57210419894;56248593800;34873482400
Modeling and using secondary taste terms,56677251600;57214937519;12445208100
"Exploration of three dimensional, hierarchical, large scale UAV system interactions",55860312700;57210914089;57203661089
High Accuracy Achieved in Determining Lengths and Locations of Horizontal Curves Using Light Detection and Ranging Point Cloud Data,57203185550;57212088299;57198919773
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor,57193900229;57215609504;7006542177
"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties",7402648240;55585953300;57194698845
Solid state crack repair by friction stir processing in 304L stainless steel,35790633100;53984647600;16041305200
On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment,57210292389;7003381644;57205617484
Physical-layer security for aeronautical telemetry,7402967162;57203240784;34874297000
Femtosats: Elegant flight telemetry payloads for model rockets,57210288045;7004904337;57218994430
Byu mars rover at the 2018 university rover challenge,35209941000;57200699937;57218202833
Eliminating wiring in aircraft instrumentation through energy harvesting,7403218372;57198443855;55613237293
Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,57205393448;8244752200;7006542177
Three approaches for managing stiffness in origami-inspired mechanisms,15848771600;16548784600;12445208100
Origami-based design of conceal-and-reveal systems,57212342916;57204719621;8231832400
Automating the design of thick-origami mechanisms,57204029674;55911870000;6603717022
Retractable anti-buckling support systems for flexible medical devices,57208598187;6506484066;57212351695
"Social impact in product design, an exploration of current industry practices",6701610428;57200117690;7003445799
Over-design versus redesign as a response to future requirements,13605498800;6602198438;57200363612
Design and modeling of a prosthetic venous valve,36082483100;57215031057;57218202833
Patterned carbon nanotube growth on stainless steel,56702333100;57212950333;35336731800
Dynamic SEU Sensitivity of Designs on Two 28-nm SRAM-Based FPGA Architectures,57205645397;12544690900;57208709846
Total hemispherical apparent radiative properties of the infinite V-Groove with diffuse reflection,55860312700;57023931200;57212089454
Architectures for Earth-observing CubeSat scatterometers,56976354400;57192955909;7005513246
Volumetric display by movement of particles trapped in a laser via photophoresis,7003772744;57215607275;57216748895
When does a human replan? Exploring intent-based replanning in multi-objective path planning,55727966500;57209399640;57197797367
A compact low-cost direction finding system for unmanned aerial vehicles,57203661089;57193807582;35147940600
Evaluation and optimization of dynamic cone penetration test (DPT) for assessment of liquefaction in gravelly soils,39862017300;57203185550;57195292516
Radial variation in distortion transfer and generation through a highly loaded fan stage,57190859038;57200514682;57204029674
Universal airfoil parametrization using B-splines,6507359986;57219009389;56875089300
Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,23006267900;6701834327;56045493000
Cylindrical cross-axis flexural pivots,23091904000;18535712500;57212342217
Strut-and-tie models for masonry walls with openings,57118455800;36055605700;7005521036
Finite element model of dry-stack masonry shear walls,57194698845;7410190129;56386056100
An investigation of self-efficacy and topic emotions in entry-level engineering design learning activities,7004300863;55200909800;55249877500
Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process,7202713087;24295291100;7401431037
Collaboration task-technology fit for student distributed engineering design teams,55200909800;23569552400;57212351059
Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab,57201634652;57189458176;24402340500
High fidelity MMI excitation patterns for optofluidic multiplexing,56830076500;57202256915;7005408810
3D hydrodynamic focusing for optofluidics using a stacked channel design,57203308821;57191862517;7202040335
Lateral resistance of piles within corrugated metal sleeves,57203486012;8705255200;55359526600
Analysis of post-liquefaction axial capacities of driven pile and drilled shaft foundations,6603354235;57203185550;57193518829
Gravelly Soil Liquefaction after the 2016 Ecuador Earthquake,6602866368;57144565100;57202577089
Evaluation of Dynamic Cone Penetration Test for Liquefaction Assessment of Gravels from Case Histories in Idaho,7103392045;56560118600;57144565100
Optimization of Grid Spacing Pattern for the Development of Reference Parameter Maps for Liquefaction-Induced Free-Field Settlement,56397285100;55849071700;54787829800
Integrating community-level data resources for precision medicine research,57205589719;7005052477;16422844400
Initial Comparisons of Friction Stir Spot Welding and Self Piercing Riveting of Ultra-Thin Steel Sheet,57214773567;7103186661;56890178400
Benefits of two turbine rotor diameters and hub heights in the same wind farm,7005513246;57210260262;57218886193
Unification of signal models for soqpsk,6508087756;7004904337;36987999600
Cfo estimation by exploiting channel sparsity in aeronautical telemetry,57218995344;57125618000;57207687950
Simplified modeling for soot formation from solid fuels,57201704300;56248593800;57200207993
Targeted 3D modeling from UAV imagery,25522430900;6701834327;57216048774
Spatiotemporal correlation analysis of jet noise from a round-nozzle supersonic aircraft,16643231700;57206968876;57217654846
Dependence of high-performance military aircraft noise on frequency and engine power,23052031200;15766049500;55848648600
Inclusion of broadband shock-associated noise in spectral decomposition of noise from highperformance military aircraft,55542008600;36106810300;55247719300
Comparison of noise from high-performance military aircraft for ground run-up and flyover operations,35578275000;57192697616;57219332168
Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility,7003381644;57212345817;7801676127
New flow assurance system with high speed subsea fiber optic monitoring of pressure and temperature,8321530600;57201980753;57208225620
Information design in crowdfunding under thresholding policies,35344727500;8448666000;36668159600
Environmental and track factors that contribute to abrasion damage,7004615647;36055605700;6506484066
"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",55916448500;7006583274;6602889035
"Simplified Evaluation of the Seismic Failure of an Old Wharf during the 2014 Mw 8.2 Pisagua, Chile, Earthquake",57189458176;57204031131;57211516485
Folding approaches for tensioned precision planar shell structures,57212379321;6701863708;8922674200
A modeling framework for assessing cyber disruptions and attacks to the national airspace system,57210419894;57208823236;57202776341
Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project,7005408810;57197791798;55557218000
Local texture evolution and mechanical performance of ultra-high-speed friction stir weld of AA 6111-T4 sheets,57081918700;57208598187;7006815587
"High-Speed Friction Stir Welding of AA7075-T6 Sheet: Microstructure, Mechanical Properties, Micro-texture, and Thermal History",7201741468;56363360200;6603114735
Commissioning observations with the focal L-band Array on the Green Bank Telescope (FLAG),55912340300;36011148100;7402786794
Effect of nozzle–plate distance on acoustic phenomena from supersonic impinging jet,57211105311;57203330644;57206968876
Progress in transparent flat-panel holographic displays enabled by guided-wave acousto-optics,57205393448;57200118672;56767836200
