Author,Organization Name,Type
Saric A.T.,Dept. of Power Electr. and Comm. Eng,Company
Saric A.T.,University of Novi Sad,University
Saric A.T.,Faculty of Technical Sciences,Company
Francis B.L.,Brigham Young University,University
Francis B.L.,Brigham Young UniversityUT,University
Nuttall J.R.,Brigham Young University,University
Nelson T.G.,Brigham Young University,University
Nelson T.G.,University of Southern Indiana,University
Avila A.,Brigham Young University,University
Herder J.L.,Delft University of Technology,University
Machekposhti D.F.,Delft University of Technology,University
Franke K.W.,Brigham Young University,University
Franke K.W.,Ira A. Fulton College of Engineering and Technology,University
Franke K.W.,Brigham Young Univ.,University
Candia G.,Universidad del Desarrollo,University
Mayoral J.M.,Instituto de Ingeniería,University
Mayoral J.M.,Institute of Engineering at National Autonomous University of Mexico,University
Wood C.M.,University of Arkansas,University
Montgomery J.,Auburn University,University
Hutchinson T.,University of California at San Diego,University
Hutchinson T.,Univ. of California,University
Hutchinson T.,University of California,University
Morales-Velez A.C.,University of Puerto Rico Mayaguez,University
Fagergren F.,Brigham Young University,University
Sypherd S.,Brigham Young University,University
Snow D.,Brigham Young University,University
Cunningham A.,Brigham Young University,University
Neff C.,University of South Florida,University
Neff C.,Air Force Research Laboratory,Company
Nussbaum J.,University of South Florida,University
Nussbaum J.,Oak Ridge National Laboratoy,Company
Gardiner C.,Ball Aerospace and Technologies Corporation,Company
Zunino J.L.,US Army RDECOM-ARDEC,Company
Newton M.,Sciperio Inc.,Company
Clement M.,Brigham Young University,University
Craddock T.J.A.,Inst. for Neuroimmune Medicine Nova Southeastern University,University
Fletcher M.,Nova Southeastern University,University
Klimas N.G.,Nova Southeastern University,University
Broderick G.,Rochester Institute of Technology,University
Johnson C.L.,Brigham Young University,University
Moss C.D.,Brigham Young University,University
Amin M.N.,University of California,University
Hamblin M.,Brigham Young University,University
Meena G.G.,University of California Santa Cruz,University
Meena G.G.,University of California,University
Brown O.,Brigham Young University,University
Hanson R.,Brigham Young University,University
Wood R.L.,Brigham Young University,University
Robison R.,Brigham Young University,University
Robison R.,University of California,University
Roundtree K.A.,Oregon State University,University
Adams J.A.,Oregon State University,University
Swindlehurst E.,Brigham Young University,University
Jensen H.,Brigham Young University,University
Kuan Y.-C.,International College of Semiconductor Technology,University
Kuan Y.-C.,National Chiao Tung University,University
Chang M.-C.F.,University of California at Los Angeles,University
Chang M.-C.F.,National Chiao Tung University,University
Wu J.-T.,National Chiao Tung University,University
Oliveira P.M.,Universidade de Trás-os-Montes e Alto Douro,University
Chen Y.-F.,Nanjing Medical University,University
Lin C.-S.,China Medical University,University
Lin C.-S.,Nanjing Medical University,University
Hong C.-F.,National Quemoy University,University
Sun C.,CSIRO Data61,Company
Lin H.-H.,Central Taiwan University of Science and Technology,University
Zhao W.,Henan University of Science and Technology,University
Yang X.,Henan University of Science and Technology,University
Hu R.,Wuhan Institute of Physics and Mathematics,University
Liu C.,College of Life Science and Technology,University
Xuan J.,Brigham Young University,University
Xu Y.,College of Life Science and Technology,University
Li T.,Wuhan Institute of Physics and Mathematics,University
Liu B.-F.,College of Life Science and Technology,University
Huang B.,Brigham Young University,University
Mardkhe M.K.,Brigham Young University,University
Corie T.H.,Mechanical Engineering,Company
Raven L.A.,Brigham Young University,University
Fernandes T.,University of Coimbra,University
Wang T.,Advanced Materials and Manufacturing Processes Institute,University
Sidhar H.,Advanced Materials and Manufacturing Processes Institute,University
Mishra R.S.,Advanced Materials and Manufacturing Processes Institute,University
Upadhyay P.,Pacific Northwest National Lab,Company
Upadhyay P.,Pacific Northwest National Laboratory,Company
Carlson B.,General Motors LLC,Company
Carlson B.,General Motors Technical Center,Company
Carlson B.,General Motors,Company
Shoemaker G.,Advanced Instrumentation Systems Technology (AIST) Executing Agent,Company
Shoemaker G.,Naval Undersea Warfare Center,Company
Nielsen J.,Brigham Young University,University
Beard R.,Brigham Young University,University
Wynn J.S.,Brigham Young University,University
Bidstrup C.C.,Brigham Young University,University
Moore J.J.,Brigham Young University,University
Woodbury N.,Brigham Young University,University
Wood A.E.,Brigham Young University,University
Wilson A.E.,Brigham Young University,University
Baker M.J.,Brigham Young University,University
Baker W.H.,Brigham Young University,University
Hanks K.N.,Frontier-Kemper Constructors,Company
Richards P.W.,Brigham Young University,University
Richards P.W.,Brigham Young Univ.,University
Randall G.C.,General Atomics,Company
Hansen K.R.,Brigham Young University,University
Jackson B.,Brigham Young University,University
Long D.G.,Brigham Young University,University
Brodzik M.J.,Cooperative Institute for Research in Environmental Sciences,University
Hardman M.A.,Cooperative Institute for Research in Environmental Sciences,University
Badger J.C.,Brigham Young University,University
Lang R.J.,Lang Origami,Company
Halverson D.M.,Brigham Young University,University
Guo C.,Dalian University of Technology,University
Zhao D.,Dalian University of Technology,University
Ridge S.T.,Brigham Young University,University
Remund K.,Bayer CropScience LP,Company
Hammond A.M.,Brigham Young University,University
Potokar E.,Brigham Young University,University
Liu F.C.,Brigham Young University,University
Nelson T.W.,Brigham Young University,University
McCracken S.L.,Electric Power Research Institute,University
Sederberg T.W.,Brigham Young University,University
Adams D.W.,Brigham Young University,University
Saftner D.A.,University of Minnesota Duluth,University
Farnsworth C.B.,Brigham Young University,University
Farnsworth C.B.,Brigham Young Univ.,University
Retherford J.,University of Tennessee,University
Okeson T.J.,Ira A. Fulton College of Engineering and Technology,University
Barrett B.J.,Ira A. Fulton College of Engineering and Technology,University
Arce S.,Ira A. Fulton College of Engineering and Technology,University
Vernon C.A.,Ira A. Fulton College of Engineering and Technology,University
Derricott J.,Brigham Young University,University
Peterson C.,Brigham Young University,University
Hedengren J.,Brigham Young University,University
Allen B.C.,Brigham Young University,University
Ellingson J.,Brigham Young University,University
Jain P.,Brigham Young University,University
Jain P.,IIIT-Delhi,Company
Farrell M.,Brigham Young University,University
Jackson J.,Brigham Young University,University
Bidstrup C.,Brigham Young University,University
Hutchings N.,Brigham Young University,University
Dutson J.,Brigham Young University,University
Allen D.,Brigham Young University,University
Eggett D.,Brigham Young University,University
Akagi J.,Brigham Young University,University
Moon B.,Brigham Young University,University
Chen X.,Sun Yat-sen University,University
Robles V.D.,University of North Texas,University
Khajah T.,University of Texas at Tyler,University
Villamizar V.,Brigham Young University,University
Blackburn L.,University of Utah,University
Young A.,University of Utah,University
Rogers P.,University of Utah,University
Powell K.,University of Utah,University
Hershman R.,University of Massachusetts Amherst,University
Chelladurai I.,Brigham Young University,University
Adams D.,Brigham Young University,University
Miles M.P.,Brigham Young University,University
Niezgoda S.,Ohio State University,University
Beyerlein I.J.,Theoretical Division,Company
Beyerlein I.J.,UC Santa Barbara,Company
Knezevic M.,University of New Hampshire,University
Asimaki D.,California Institute of Technology,University
Tepalcapa S.,Institute of Engineering at National Autonomous University of Mexico,University
Wood C.,University of Arkansas,University
Roman-de la Sancha A.,Institute of Engineering at National Autonomous University of Mexico,University
Montalva G.,University of Concepcion,University
Rojas-Nastrucci E.A.,University of South Florida,University
Griffin D.,University of South Florida,University
Weller T.M.,University of South Florida,University
May D.,Institut für Verbundwerkstoffe GmbH,University
Aktas A.,Materials Division,Company
Advani S.G.,University of Delaware,University
Berg D.C.,Technische Universität Clausthal,University
Endruweit A.,University of Nottingham,University
Fauster E.,Montanuniversität Leoben,University
Lomov S.V.,Katholieke Universiteit Leuven,University
Long A.,University of Nottingham,University
Mitschang P.,Institut für Verbundwerkstoffe GmbH,University
Abaimov S.,Skolkovo Institute of Science and Technology,University
Abliz D.,Technische Universität Clausthal,University
Akhatov I.,Skolkovo Institute of Science and Technology,University
Ali M.A.,Khalifa University of Science and Technology (KUST),University
Allen T.D.,University of Auckland,University
Bickerton S.,University of Auckland,University
Bodaghi M.,Composite Materials and Structures Group,Company
Caglar B.,KOÇ University,University
Caglar H.,KOÇ University,University
Chiminelli A.,ITAINNOVA Instituto Tecnológico de Aragón,University
Correia N.,Composite Materials and Structures Group,Company
Cosson B.,Department of Polymers and Composites Technology & Mechanical Engineering,Company
Danzi M.,Laboratory of Composite Materials and Adaptive Structures,Company
Dittmann J.,Institute of Aircraft Design,University
Ermanni P.,Laboratory of Composite Materials and Adaptive Structures,Company
Francucci G.,Institute of Research in Materials Science and Technology,University
Grishaev V.,Skolkovo Institute of Science and Technology,University
Hancioglu M.,KOÇ University,University
Kabachi M.A.,Laboratory of Composite Materials and Adaptive Structures,Company
Kind K.,Technische Universität München,University
Deléglise-Lagardère M.,Department of Polymers and Composites Technology & Mechanical Engineering,Company
Laspalas M.,ITAINNOVA Instituto Tecnológico de Aragón,University
Lebedev O.V.,Skolkovo Institute of Science and Technology,University
Lizaranzu M.,ITAINNOVA Instituto Tecnológico de Aragón,University
Liotier P.-J.,Université de Lyon,University
Middendorf P.,Institute of Aircraft Design,University
Morán J.,Institute of Research in Materials Science and Technology,University
Park C.-H.,Department of Polymers and Composites Technology & Mechanical Engineering,Company
Pipes R.B.,Purdue University,University
Pucci M.F.,Univ. Montpellier,University
Raynal J.,Institut de Soudure Group,University
Rodriguez E.S.,Institute of Research in Materials Science and Technology,University
Schledjewski R.,Montanuniversität Leoben,University
Schubnel R.,Institut de Soudure Group,University
Sharp N.,Purdue University,University
Sims G.,Materials Division,Company
Sozer E.M.,KOÇ University,University
Sousa P.,Katholieke Universiteit Leuven,University
Thomas J.,Brigham Young University,University
Thomas J.,Khalifa University of Science and Technology (KUST),University
Umer R.,Khalifa University of Science and Technology (KUST),University
Wijaya W.,University of Auckland,University
Willenbacher B.,Institut für Verbundwerkstoffe GmbH,University
Yong A.,Materials Division,Company
Zaremba S.,Technische Universität München,University
Ziegmann G.,Technische Universität Clausthal,University
McDonald J.K.,Brigham Young University,University
Michela E.,Brigham Young University,University
Stott M.A.,Brigham Young University,University
Davis H.C.,University of North Carolina at Chapel Hill,University
Luc-Harkey B.A.,Brigham and Women's Hospital,Company
Seeley M.K.,Brigham Young University,University
Troy Blackburn J.,University of North Carolina at Chapel Hill,University
Pietrosimone B.,University of North Carolina at Chapel Hill,University
Teng J.,Sun Yat-sen University,University
Ling M.,Institute of Systems Engineering,University
Ling M.,Xi'an Jiaotong University,University
Cao J.,Xi'an Jiaotong University,University
Pehrson N.,Brigham Young University,University
Jain A.,University of California,University
Jain A.,University of California Santa Cruz,University
Stambaugh A.,University of California Santa Cruz,University
Patterson J.L.,Texas Biomedical Research Institute,University
Dryer Z.,Brigham Young UniversityUT,University
Nickerl A.,Brigham Young UniversityUT,University
Carreira M.,Instituto de Telecomunicações,University
Monteiro T.,Instituto de Telecomunicações,University
Gomes M.,Instituto de Telecomunicações,University
Gomes M.,University of Coimbra,University
Gibby W.,3152 N University Ave #50,University
Parish W.,3152 N University Ave #50,University
Merrill R.M.,Brigham Young University,University
Fernandez D.,University of Utah,University
Anderson C.R.,University of Utah,University
Merchel E.,University of Utah,University
Parr R.,3152 N University Ave #50,University
Hicks D.,Duke University,University
Mehl M.J.,Center for Materials Physics and Technology,Company
Gossett E.,Duke University,University
Toher C.,Duke University,University
Levy O.,Duke University,University
Hanson R.M.,St. Olaf College,University
Curtarolo S.,Duke University,University
Chatterjee S.,University of Illinois at Chicago,University
Chatterjee S.,Brigham Young University,University
Chapman S.C.,Brigham Young University,University
Major G.H.,Brigham Young University,University
Eggett D.L.,Brigham Young University,University
Lunt B.M.,Brigham Young University,University
Harrison C.R.,San Diego State University,University
Linford M.R.,Brigham Young University,University
Defigueiredo B.P.,Brigham Young University,University
Tolman K.A.,Brigham Young University,University
Crampton E.,Brigham Young University,University
Andersen J.,Brigham Young University,University
Dickinson L.,Brigham Young University,University
Heidbrink S.,Brigham Young University,University
Monson T.,Brigham Young University,University
O'Neill M.,Sandia National Laboratories,Company
O'Neill M.,Brigham Young University,University
Reese K.,Brigham Young University,University
Spendlove B.,Brigham Young University,University
Vaziripour E.,Brigham Young University,University
Vaziripour E.,Utah Valley University,University
Wu J.,Brigham Young University,University
Zappala D.,Brigham Young University,University
Nysetvold T.B.,Brigham Young University,University
Gagakuma E.,Patent Law Works LLP,Company
Fronk Z.,Brigham Young University,University
Gross A.,Roseman University of Health Sciences,University
Willmore D.,Brigham Young University,University
Arango A.,Roseman University of Health Sciences,University
Higham C.,Roseman University of Health Sciences,University
Nguyen V.,Roseman University of Health Sciences,University
Kale V.,Roseman University of Health Sciences,University
McMillan G.,Roseman University of Health Sciences,University
Seegmiller R.E.,Roseman University of Health Sciences,University
Pierce J.,University of South Florida,University
Gunter C.,Brigham Young University,University
Fourment L.,Centre de Mise en Forme des Materiaux,Company
Mathis T.,Brigham Young University,University
Pinto T.,University of Coimbra,University
Forsgren B.,Brigham Young University,University
Wheeler D.,Uber Advanced Technologies Group,Company
Fonseca F.S.,Brigham Young University,University
Fonseca F.S.,Brigham Young Univ.,University
Fortes E.S.,Federal Univ. of São Carlos,University
Fortes E.S.,Federal Univ. of Sao Carlos,University
Parsekian G.A.,Federal Univ. of São Carlos,University
Parsekian G.A.,Federal Univ. of Sao Carlos,University
Camacho J.S.,São Paulo State Univ.,University
Camacho J.S.,Sao Paulo State Univ.,University
Stanley Fujimoto M.,Brigham Young University,University
Barton T.J.,Brigham Young University,University
Linn J.,Brigham Young University,University
Jenkins D.,Brigham Young University,University
Arnold B.T.,Brigham Young University,University
Lee A.,Brigham Young University,University
Allen Q.S.,Brigham Young University,University
Allen J.D.,Brigham Young University,University
Hatch N.W.,Brigham Young University,University
Chen J.,University of Houston,University
Oh S.K.,University of Houston,University
Nabulsi N.,University of Houston,University
Johnson H.,Brigham Young University,University
Wang W.,University of Houston,University
Ryou J.-H.,University of Houston,University
Hogg S.M.,Brigham Young University,University
Le Bas P.-Y.,Detonation Science and Technology Group (Q-6),Company
Noronha D.H.,University of British Columbia,University
Zhao R.,Imperial College London,University
Luk W.,Imperial College London,University
Wilton S.J.E.,University of British Columbia,University
Stubbs C.J.,New York University,University
Sun W.,New York University Abu Dhabi,University
Cook D.D.,Brigham Young University,University
Kraus D.,Brigham Young University,University
Sherrod V.,Brigham Young University,University
Day N.,Brigham Young University,University
Cowley A.,Brigham Young University,University
Vosughi A.,Washington State University,University
Johnson C.,Oak Ridge National Lab.,Company
Johnson C.,Brigham Young University,University
Xue M.,Washington State University,University
Roy S.,Washington State University,University
Rich P.J.,Brigham Young University,University
Hu H.H.,Westminster College,University
Maestre J.,Universitat Rovira i Virgili,University
Pallares J.,Universitat Rovira i Virgili,University
Cuesta I.,Universitat Rovira i Virgili,University
Collins D.H.,Statistical Sciences Group,Company
Warr R.L.,Brigham Young University,University
Janke D.,Georgia Institute of Technology,University
Monk A.,Brigham Young University,University
Hunter A.,Los Alamos National Laboratory,Company
Moore B.A.,Los Alamos National Laboratory,Company
Mudunuru M.,Los Alamos National Laboratory,Company
Chau V.,Los Alamos National Laboratory,Company
Tchoua R.,University of Chicago,University
Karra S.,Los Alamos National Laboratory,Company
O'Malley D.,University of Maryland,University
Rougier E.,Los Alamos National Laboratory,Company
Viswanathan H.,Los Alamos National Laboratory,Company
Srinivasan G.,Los Alamos National Laboratory,Company
Leung H.,Brigham Young University,University
Dankers A.,University of Calgary,University
Brodie M.,Brigham Young University,University
Tensmeyer C.,Brigham Young University,University
Ackerman W.,Brigham Young University,University
Martinez T.,Brigham Young University,University
Pettingill D.,Brigham Young University,University
Kurtz D.,Brigham Young University,University
Smalley D.,Brigham Young University,University
Youn C.C.,Tufts University,University
Gates N.S.,Brigham Young University,University
Moore K.R.,Brigham Young University,University
Ning A.,Brigham Young University,University
Newcomb J.E.,Brigham Young University,University
Unrau M.A.,Brigham Young University,University
Sanchez D.,Brigham Young University,University
Nordin G.,Brigham Young University,University
Munro T.,Brigham Young University,University
La A.,Brigham Young University,University
Howell B.,Brigham Young University,University
Siebert J.,Brigham Young University,University
Hill M.,Brigham Young University,University
Hazen G.,Brigham Young University,University
Morgan D.,Brigham Young University,University
Hamilton M.,Brigham Young University,University
Korimi M.,Brigham Young University,University
Adams M.R.,Brigham Young University,University
Pham H.,Brigham Young University,University
Schroedter T.L.,Brigham Young University,University
Smith T.,Brigham Young University,University
Armknecht J.,Brigham Young University,University
Cameron J.,Brigham Young University,University
Rogers W.,Brigham Young University,University
Neupane A.,Brigham Young University,University
Clinton R.,Brigham Young University,University
Whitehead J.,Brigham Young University,University
Seat M.L.,Avenue Consultants Inc.,Company
Wyatt Clegg B.,Brigham Young Univ.,University
Metro D.,Brigham Young University,University
Cockrell J.,Brigham Young University,University
Moffett T.,Brigham Young University,University
Bonner N.,Brigham Young University,University
Kincaid C.J.,Brigham Young University,University
Vaterlaus A.C.,Brigham Young University,University
Stanford N.R.,Brigham Young University,University
Redd B.,Brigham Young University,University
Ebert J.,Brigham Young University,University
Twitchell A.,Brigham Young University,University
Francis B.,Brigham Young University,University
Briceño X.,Brigham Young University,University
Arabian F.,Brigham Young University,University
Warner W.Y.,Brigham Young University,University
Wilson M.E.,Brigham Young University,University
Ynchausti C.,Brigham Young University,University
Seymour K.,Brigham Young University,University
Sheffield J.,Brigham Young University,University
Armstrong A.G.,Brigham Young University,University
Greenwood J.,Brigham Young University,University
Butler J.,Brigham Young University,University
Hunter J.G.,Brigham Young University,University
Andrews D.W.,Brigham Young University,University
Brown T.,Brigham Young University,University
Brown T.,General Motors R&D,Company
Hope S.,Brigham Young University,University
Stringham B.J.,Brigham Young University,University
Smith D.O.,Brigham Young University,University
Naylor T.A.,Brigham Young University,University
Martin R.A.,Brigham Young University,University
Sadler J.E.,Brigham Young University,University
Day R.D.,Brigham Young University,University
Bronson P.G.,Brigham Young University,University
Tovar J.L.,Brigham Young University,University
Tree D.R.,Brigham Young University,University
Tobiasson J.R.,Brigham Young University,University
Egbert S.C.,Brigham Young University,University
Gong H.,Brigham Young University,University
Johnson B.I.,Brigham Young University,University
Avval T.G.,Brigham Young University,University
Hodges G.T.,Brigham Young University,University
Carver V.,Brigham Young University,University
Membreno K.,Brigham Young University,University
Allred D.D.,Brigham Young University,University
Hooper K.,Brigham Young University,University
Baker N.F.,Brigham Young University,University
Stanley A.P.J.,Brigham Young University,University
Thomas J.J.,Brigham Young University,University
Dykes K.,National Wind Technology Center,Company
Dykes K.,National Renewable Energy Laboratory,Company
Annoni J.,National Wind Technology Center,Company
Annoni J.,National Renewable Energy Laboratory,Company
Fleming P.,National Wind Technology Center,Company
Fleming P.,National Renewable Energy Laboratory,Company
Thorum A.,Brigham Young University,University
Page L.,Brigham Young University,University
Allred D.,Brigham Young University,University
Hua Z.,Idaho National Laboratory,Company
Hurley D.,Idaho National Laboratory,Company
Yayoglu Y.E.,University of South Florida,University
Gallant N.D.,University of South Florida,University
Toomey R.,University of South Florida,University
List M.G.,Compressor Aero Research Laboratory,Company
Rossiter J.A.,University of Sheffield,University
Pope S.A.,University of Sheffield,University
Jones B.L.,University of Sheffield,University
Lundgreen R.,Brigham Young University,University
Bai H.,Oklahoma State University at Stillwater,University
Starick T.,BTU Cottbus-Senftenberg,Company
Nittala S.,Purdue University,University
Howland S.,Brigham Young UniversityUT,University
Jesiek B.,Purdue University,University
Tyler J.,Brigham Young University,University
Gatrell C.,Brigham Young University,University
Howard D.,Brigham Young University,University
Gibbons J.D.,Hales Engineering,Company
Lusk P.C.,Brigham Young University,University
Glaab P.C.,NASA Langley Research Center,Company
Glaab L.J.,NASA Langley Research Center,Company
Wagstaff K.B.,Brigham Young Univ.,University
Black R.,Wagstaff Crane Service,Company
Black J.A.,University of California,University
Black J.A.,University of California Santa Cruz,University
Hamilton E.,Brigham Young University,University
Hueros R.A.R.,Brigham Young University,University
Parks J.W.,University of California,University
Parks J.W.,University of California Santa Cruz,University
Goodson M.,Brigham Young University,University
Anderson M.,US Air Force Academy,University
Anderson M.,US Air Force Academy Colorado SpringsCO,University
Sorensen C.,Brigham Young University,University
Mattson C.,Brigham Young University,University
Stapleton T.,Brigham Young University,University
Owens T.,Brigham Young University,University
Webb B.W.,Brigham Young University,University
Solovjov V.P.,Brigham Young University,University
André F.,Univ Lyon,University
André F.,INSA de Lyon,Company
Patterson C.,Brigham Young UniversityUT,University
Kelly J.D.,Industrial Algorithms LimitedON,Company
Ba Q.,Institute of Thermal Science and Technology,University
Egbert S.,Brigham Young University,University
Cheng L.,Institute of Thermal Science and Technology,University
Lofthouse V.,Loughborough University,University
Bhamra T.,Loughborough University,University
Downing T.,Brigham Young University,University
Anderson S.,Brigham Young University,University
Wright L.,Brigham Young University,University
Haskell M.,Brigham Young University,University
Bowman E.,Ford Motor Company,Company
Lingwall B.N.,South Dakota School of Mines & Technology,Company
Youd T.L.,Brigham Young University,University
Youd T.L.,Brigham Young Univ.,University
Blonquist J.,Brigham Young University,University
Liang J.H.,Brigham Young University,University
Rowberry H.C.,Brigham Young University,University
Noyce S.G.,Brigham Young University,University
Vanfleet R.R.,Brigham Young University,University
Craighead H.G.,Cornell University,University
Jolly S.,Massachusetts Institute of Technology,University
Datta B.,Massachusetts Institute of Technology,University
Parthiban V.,Massachusetts Institute of Technology,University
Michael Bove V.,Massachusetts Institute of Technology,University
Katayama I.,Yokohama National University,University
Kobayashi M.,Yokohama National University,University
Gubaev K.,Skolkovo Institute of Science and Technology,University
Podryabinkin E.V.,Skolkovo Institute of Science and Technology,University
Khah F.S.,Texas A and M University,University
Rybkowski Z.K.,College of Architecture,University
Rybkowski Z.K.,Texas A and M University,University
Ray Pentecost A.,Texas A and M University,University
Smith J.P.,Brigham Young University,University
Smith J.P.,College of Engineering,University
Muir R.,Virginia Polytechnic Institute and State University,University
Terry J.S.,Brigham Young University,University
Whitaker J.,Brigham Young University,University
Neilsen T.B.,Brigham Young University,University
Vaughn A.B.,Brigham Young University,University
Swift S.H.,Brigham Young University,University
Downing J.M.,Blue Ridge Research and Consulting,Company
James M.M.,Blue Ridge Research and Consulting,Company
Tilahun L.E.,Morehouse College,University
Gabriel Richardson J.,Brigham Young University,University
Steven Turley R.,Brigham Young University,University
Eargle D.,University of Colorado,University
Jenkins J.L.,Brigham Young University,University
Brock Kirwan C.,Brigham Young University,University
Anderson B.B.,Brigham Young University,University
Nascimento M.R.,Catholic University of Santa Catarina,University
Roman H.R.,Civil Engineering Department,Company
Roman H.R.,Federal University of Santa Catarina,University
Abut F.,Çukurova University,University
Abut F.,Adana Alparslan Türkeş Science and Technology University,University
Akay M.F.,Çukurova University,University
George J.,Dept of Ex Sci,Company
George J.,College of Life Sciences,University
Transtrum M.T.,Brigham Young University,University
Yellowhorse A.D.,Delft University of Technology,University
Fernquest S.,University of Oxford,University
Palmer A.,University of Oxford,University
Gammer B.,University of Oxford,University
Hirons E.,University of Oxford,University
Kendrick B.,University of Oxford,University
Taylor A.,University of Oxford,University
De Berker H.,University of Oxford,University
Bangerter N.,Brigham Young University,University
Carr A.,University of Oxford,University
Glyn-Jones S.,University of Oxford,University
Zimmerman T.K.,Brigham Young University,University
Bohman M.,Brigham Young University,University
Cazzaniga C.,Science and Technology Facility Council,Company
Frost C.,Science and Technology Facility Council,Company
Arashida Y.,Yokohama National University,University
Yamashita G.,Osaka University,University
Matsubara E.,Osaka University,University
Ashida M.,Osaka University,University
Lübeck A.,Federal University of Santa Maria,University
Lübeck A.,DECC,Company
Mohamad G.,Federal University of Santa Maria,University
Mohamad G.,DECC,Company
Milani A.S.,Federal University of Pampa,University
Milani A.S.,UNIPAMPA,Company
Gou Y.,Xidian University,University
Chen G.,Brigham Young University,University
Chen G.,Xi'an Jiaotong University,University
Chen G.,Xidian University,University
Peterson S.,National Institutes of Health,University
Stephens K.K.,University of Texas,University
Hughes A.,Brigham Young University,University
Purohit H.,George Mason University,University
Sen U.,University of Illinois at Chicago,University
Ganguly R.,Jadavpur University,University
Yu L.,Corporate Research and Engineering,Company
Megaridis C.M.,University of Illinois at Chicago,University
Banik J.A.,Air Force Research Laboratory Space Vehicles Directorate,Company
Banik J.A.,U.S. Air Force Research Laboratory,Company
Villa J.M.,Instituto de Ingeniería de la UNAM,University
Ayoubi P.,California Institute of Technology,University
Roxanne Hiltz S.,New Jersey Institute of Technology,University
Imran M.,Qatar Computing Research Institute,University
Plotnick L.,New Jersey Institute of Technology,University
Power R.,Commonwealth Scientific and Industrial Research Organisation,Company
Turoff M.,New Jersey Institute of Technology,University
Lemonnier D.,ISAE-ENSMA,Company
Andre F.,Univ Lyon,University
Andre F.,Centre de Thermique et d’Energétique de Lyon,Company
Coelho F.,Federal University of Rio Grande Do sul,University
Consalvi J.-L.,Aix-Marseille Université,University
Franca F.,Federal University of Rio Grande Do sul,University
Galtier M.,Univ Lyon,University
Nmira F.,Direction R&D EDF,Company
Nmira F.,Direction R & D EDF,Company
Consalvi J.L.,Aix-Marseille Université,University
Solovjov V.,Brigham Young University,University
Pastusek P.,ExxonMobil Development Co.,Company
Payette G.,ExxonMobil Development Co.,Company
Shor R.,University of Calgary,University
Cayeux E.,Norce,Company
Aarsnes U.J.,Norce,Company
Menand S.,DrillScan,Company
Macpherson J.,Baker Hughes GE,Company
Gandikota R.,MindMesh Inc.,Company
Behounek M.,Apache Corp,Company
Harmer R.,Schlumberger,Company
Detournay E.,University of Minnesota,University
Illerhaus R.,Integrity Directional,Company
Liu Y.,Shell Development Co,Company
Allender E.J.,University of St Andrews,University
Orgel C.,Institute of Geological Sciences,University
Almeida N.V.,Planetary Materials Group,Company
Cook J.,University of Houston,University
Ende J.J.,University of Tennessee Knoxville,University
Kamps O.,University of Twente,University
Mazrouei S.,University of Toronto,University
Slezak T.J.,Brigham Young University,University
Soini A.-J.,University of Helsinki,University
Kring D.A.,Lunar and Planetary Institute,University
Anderson J.D.,Brigham Young University,University
Leavitt J.C.,Brigham Young University,University
Lee D.S.,Sandia National Laboratories,Company
King M.,Sandia National Laboratories,Company
Evans W.,Sandia National Laboratories,Company
Cannon M.,Brigham Young University,University
Rice W.,Sandia National Laboratories,Company
Kim K.M.,Brigham Young University,University
DeFigueiredo B.P.,Brigham Young University,University
Russell B.D.,Brigham Young University,University
Emerson P.,Brigham Young University,University
Bowen L.,Pennsylvania State University,University
Wilcox E.,Brigham Young University,University
Shrager A.,Pennsylvania State University,University
Frecker M.I.,Pennsylvania State University,University
von Lockette P.,Pennsylvania State University,University
Simpson T.W.,Pennsylvania State University,University
Chen G.-M.,Xi’an Jiaotong University,University
Temple K.,412 Test Wing,Company
Temple K.,412 Test Wing/ENI,Company
Chalfant T.,41240 12th St. West,Company
Ernst D.,2420 Briarwood Lane,Company
Kahn C.,MITRE Corporation,Company
Jensen J.L.,Brigham Young University,University
Holt E.A.,University of Northern Colorado,University
Sowards J.B.,Brigham Young University,University
Heath Ogden T.,Utah Valley University,University
West R.E.,Brigham Young University,University
Cox J.J.,Brigham Young University,University
Tikare V.,Center for Computing Research,Company
Kurata M.,Nuclear Science and Engineering Directorate,Company
Haut T.,Center for Applied Scientific Computing,Company
Wingate B.A.,University of Exeter,University
Huang X.,National Institute of Clean-and-Low-Carbon Energy,University
Wang X.,University of Wyoming,University
Wang X.,Tongji University,University
Wang Y.,University of Utah,University
Wang Y.,China University of Mining and Technology,University
Zhu Y.,National Institute of Clean-and-Low-Carbon Energy,University
Feeman S.M.,Brigham Young University,University
Wright L.B.,Brigham Young University,University
Clavijo C.E.,Brigham Young University,University
Clavijo C.E.,Mechanical Engineering,Company
Stevens K.,Brigham Young University,University
Chahal J.S.,Brigham Young University,University
Ghorpade S.R.,Indian Institute of Technology Bombay,University
Frank I.W.,Draper Laboratory,Company
Desrochers C.,Engineering Consultants Inc.,Company
Prinz G.S.,University of Arkansas,University
Shah D.,Brigham Young University,University
Patel D.I.,Brigham Young University,University
Roychowdhury T.,Brigham Young University,University
Rayner G.B.,Kurt J. Lesker Company,Company
O’Toole N.,Kurt J. Lesker Company,Company
Baer D.R.,Environmental Molecular Sciences Laboratory,Company
Loiseau J.,University of Reims Champagne-Ardenne,University
Bergen B.K.,Los Alamos National Laboratory,Company
