Paper,Reviewers
10.1115/DETC2018-85224,34874038200;6506645565;57204728159
10.1115/DETC201885927,57197765649;55948963100;36682113800
10.1115/DETC201886056,24758929200;57193008289;7005513246
10.1115/DETC2018-86170,57212877401;57212271159;57215116223
10.1115/DETC2018-86156,56260937200;57211281996;57192955909
10.1115/DETC2018-86164,57204029674;8929123100;7004904337
10.1115/DETC2018-86130,57193008289;57203978933;57217581937
10.1109/TNS.2017.2772288,57215613881;57211493546;57200118993
10.1117/12.2321696,36349287300;57204029674;57194034271
10.1117/12.2324317,55547123342;57218221803;57211987837
10.1117/12.2304546,57192697616;57203298908;56985459400
10.1049/cp.2018.0983,57203981655;36176552000;57193811936
10.1115/GT2018-77221,57193749678;6701863708;7005513246
10.2514/6.2018-3949,36708895400;55948963100;57203836305
10.2514/6.2018-1354,7004904337;7006542177;57191108291
10.1016/j.precisioneng.2017.11.001,55953141600;34873697600;16548784600
10.1061/9780784481691.003,7101640734;57201634652;24401574900
10.1364/CLEO_AT.2018.JW2A.24,57204029674;55919211300;57194162490
10.1364/CLEO_AT.2018.JTh2A.101,20735824800;16308483700;57203308821
10.1061/9780784481578.026,57199050938;57208012227;57202585105
10.1061/9780784481578.028,55922401500;19638969800;9277159100
10.1061/9780784481455.027,7101640734;7005513246;55665473200
10.1061/9780784481455.022,19934211900;23569552400;36503632200
10.1061/9780784481455.041,57204029674;55916448500;56559677100
10.1142/9789813235533_0057,9739395200;57192981384;57218102993
10.4271/2018-01-1236,23052031200;24830555500;35147940600
10.2514/6.2018-2016,7004904337;56245452300;57192697616
10.1117/12.2304436,57203981655;36176552000;6602577617
10.2514/6.2018-3938,6701834327;35182844400;7202277096
10.2514/6.2018-2826,57198832579;7202277096;57205270902
10.2514/6.2018-3146,56709364700;56256103500;57204032253
10.2514/6.2018-3614,57219327922;55837442300;57192697616
10.2514/6.2018-1384,57188658434;57211500187;7202277096
10.1115/OMAE2018-78079,57203922639;26642910500;57209538650
10.1115/JRC2018-6167,7004615647;7004435321;57202860730
10.1061/9780784481455.010,18535712500;7003609448;57198450286
10.1061/9780784481455.055,57216076371;35435170000;35790633100
10.2514/6.2018-1439,7102900497;36913263000;56102505100
10.1007/978-3-319-72484-3_27,7006533953;24830555500;23009691800
10.1007/s11661-017-4411-4,36149254500;7005098852;7006533953
10.1049/cp.2018.0911,55860312700;57215607275;16313800700
10.2514/1.J056504,57201022887;7004904337;7005513246
10.1117/12.2289145,55788214400;14831622300;57216183270
10.1117/12.2305957,55279219900;57218105310;35088650000
10.1117/12.2311281,8298784700;6602958570;57216183270
10.1364/ofs.2018.tub2,57202855772;6602889035;57211503118
10.1115/OMAE2018-77117,57201634652;57212351059;57193845336
10.1061/9780784481660.006,8448666000;57204555914;57195921912
10.1016/j.applthermaleng.2017.09.095,7201741468;57201393186;55665625900
10.2514/1.I010627,12646372900;57209567638;36349287300
10.1061/9780784481660.005,7402074463;57188654880;57215031057
10.1061/9780784481660.020,7004300863;57205762391;7004403207
10.1061/9780784481608.009,56666222000;57219006078;57217339723
10.1061/9780784481653.044,36667397700;55588035200;56371366400
10.1155/2018/9621640,56164575400;56709476900;8372868700
10.1061/9780784481653.014,57189026693;55249877500;6507235629
10.1117/12.2513788,55812858700;56584993700;56024800300
10.1109/ICDM.2017.137,36162907100;57203310052;57203486012
10.1109/IROS.2017.8206443,23091904000;57214009254;57218202833
10.1021/acs.iecr.7b03748,57118455800;7403558004;55837442300
10.1109/IROS.2017.8206308,57217283178;8705255200;55359090100
10.1109/TAP.2017.2766679,9942259800;57201257192;6701720294
10.1007/s10439-017-1910-9,57217581937;6701610428;57192307368
10.1109/TASLP.2017.2738564,12445208100;35236338800;57211516485
10.1038/s41524-017-0027-x,57195591421;7102975249;7004609408
10.1109/TAP.2017.2758390,56680952700;57210191104;57206024435
10.1109/TPC.2017.2759621,7004904337;56417117600;57197773578
10.1016/j.jsv.2017.07.021,18937960700;56871132500;55542008600
10.1109/TAP.2017.2748237,57215336161;57215333932;56584019300
10.1177/0731684417721660,15081415200;36701008900;6508257901
10.1109/TCSII.2016.2642820,35790633100;36245410800;57203943386
10.1016/j.cma.2017.08.003,35088650000;56681156600;57194015684
10.1109/JSEN.2017.2750327,7003772744;6507358470;12143690400
10.1109/SecDev.2017.20,57191620725;57191995887;57218270296
10.1021/acs.bioconjchem.7b00281,7402407628;55544941800;7005052477
10.1109/CCTA.2017.8062726,57202904399;56148594700;6507391043
10.1109/CCTA.2017.8062645,57193356353;57204032253;57204031131
10.1109/MWSYM.2017.8058605,7006111578;8935514400;7005408810
10.1061/(ASCE)EI.1943-5541.0000335,57215333932;57211282935;35262249500
10.1016/j.jmapro.2017.07.015,6507358470;7006542177;6508306234
10.1109/TLT.2017.2740172,7402004420;56875349800;57205761514
10.1007/s00163-017-0253-8,56703308500;55511230900;56818839700
10.1016/j.measurement.2017.02.025,26029526200;6508147112;57218886193
10.1109/MWSCAS.2017.8053032,7005513246;7801676127;7004904337
10.4271/2017-01-6000,7202083837;57201724099;57210290270
10.1039/c7lc00644f,37105487900;57205502490;57191477766
10.1007/s10439-017-1852-2,8667231600;56702333100;57196952707
10.1016/j.ijindorg.2017.06.001,7004307869;57215031057;57197791798
10.1111/ina.12369,8608718200;7005513246;57190258899
10.1115/1.4036336,57209881955;23388379100;57215687139
10.1115/1.4035674,56819566000;57212147414;57192961253
10.1016/j.joca.2017.05.004,57190258899;57213874106;57196952707
10.1016/j.ijhcs.2017.03.007,57215031057;57198431633;56677251600
10.1103/PhysRevFluids.2.090503,57218202833;7004904337;7005513246
10.1109/IPCC.2017.8013959,57197730899;7004904337;7402004420
10.1364/AO.56.006814,36149254500;35088650000;57211516485
10.3390/mi8080252,57218875152;7004904337;7402967162
10.1109/ICORR.2017.8009242,57210982957;57190797086;57212089454
10.1017/jfm.2017.365,56463982900;56487893500;6701863708
10.1016/j.commatsci.2017.04.015,57191110417;57196372172;56196521900
10.1109/TAP.2017.2708084,57201484423;57214229367;56781290700
10.1109/TAES.2017.2671784,35147940600;55557218000;57211254337
10.1109/TAES.2017.2671785,8929123100;57120014600;35147940600
10.1007/s12206-017-0742-8,57196468765;57200515115;7006120837
10.1016/j.commatsci.2017.01.017,57202776341;57197773578;6506328689
10.1080/16864360.2016.1273578,7004277402;56330970800;57205767010
10.1109/ICUAS.2017.7991391,57200371154;7406665619;35338971800
10.1109/ICRA.2017.7989687,35508257500;24483038000;12445208100
10.1109/ICRA.2017.7989218,57188681207;56748981000;57218105310
10.1109/ICRA.2017.7989588,55252859600;57202319101;55953141600
10.1109/RADECS.2017.8696180,6701720294;19638969800;36944158600
10.1109/RADECS.2017.8696210,57197733505;57209538650;57204964732
10.1115/1.4035904,57200529047;55611356500;6602649851
10.1109/BIBE.2017.00-63,57201212051;8691490200;35228854600
10.1116/1.4984807,7003387464;57218202833;57204719621
10.1061/(ASCE)CO.1943-7862.0001310,6603615600;24401574900;57216754583
10.1109/BIBE.2017.00-44,57204553875;55979578600;6603383055
10.1109/BIBE.2017.00-53,7004904337;57194639611;8691490200
10.23919/ACC.2017.7963663,57204029674;35562442700;7004300863
10.1016/j.engstruct.2017.03.041,47962305800;57207980336;57215823167
10.1364/AO.56.004911,57218202833;7202083837;56155127800
10.1080/16864360.2016.1257184,57197773578;57205762398;6602649851
10.1080/00207217.2017.1279229,57212415946;57209889565;8929123100
10.1115/1.4036304,56353116200;57195317234;24830555500
10.1007/s12273-016-0332-1,55829396600;55413647400;7101640734
10.1016/j.cma.2017.03.009,57210477807;57208682307;7004277402
10.1007/s11837-017-2334-6,57164754700;9277159100;56890669600
10.1109/SYSCON.2017.7934789,36668159600;57194008450;56798055200
10.1016/j.msea.2017.04.032,57202627912;56724258600;57202627050
10.1109/LPT.2017.2686354,8705255200;57194231165;57209911428
10.1016/j.bios.2016.12.071,57205849200;14059209700;57197795830
10.1007/s10694-016-0644-9,57210375461;56484754900;36126203400
10.1016/j.epsr.2017.01.039,6506010179;37086141200;57215904613
10.1109/TPWRS.2016.2611511,57218886189;57211254337;35147940600
10.1016/j.biomaterials.2017.02.021,56709476900;57195427378;7202687601
10.1007/s11837-017-2309-7,57217581937;55272011900;57193749678
10.1088/1361-6528/aa68b0,7409253428;57215609504;57214076898
10.1088/1361-6528/aa68ae,7403218372;57190261034;57218593446
10.1080/16864360.2016.1240449,57197765353;7005411524;57201257192
10.1016/j.matdes.2017.01.057,57217581770;57189445479;55258864700
10.1007/s10439-016-1765-5,24780432200;6507358470;6506674242
10.1115/1.4035686,57023931200;56890178400;57212383793
10.1002/qre.2047,6602572190;7005513246;57200884469
10.4271/2017-01-1329,10141271600;7005411524;57204825465
10.1145/2909824.3020225,57189219942;57196261400;57188688103
10.1145/2909824.3020243,7003292762;57160053200;57188691775
10.1007/s11081-015-9295-9,57188691775;36349287300;57218202833
10.1061/(ASCE)WR.1943-5452.0000720,36459611200;57219332168;57204031131
10.1061/(ASCE)ME.1943-5479.0000483,57216076371;7404766197;6507358470
10.1016/j.ijmultiphaseflow.2016.10.005,6506736843;57205285411;57218202833
10.1111/risa.12652,57215680724;57190228554;57215697686
10.1016/j.conbuildmat.2016.12.112,57195804520;57198333909;56762988100
10.1007/s00348-016-2297-3,7006441571;57211987837;57198451372
10.1016/j.matdes.2016.11.066,55726346900;57211158470;57210585829
10.1109/TAP.2016.2632618,56680952700;6602305778;56798055200
10.1007/s00158-016-1518-y,7003381644;57219015425;57195286623
10.1109/TAES.2017.2650818,36668159600;57194787481;55315026400
10.1364/AO.56.001062,56126031600;6701834327;57217283178
10.1061/(ASCE)HY.1943-7900.0001221,57217866402;57197773578;55727966500
10.1109/TCPMT.2016.2646484,7003609448;36913263000;7202316035
10.1007/s00332-016-9333-6,6701610428;7004904337;55457444300
10.1109/IPCon.2016.7831137,7004904337;57195398251;57216747100
10.1109/IPCon.2016.7831143,57215613881;57002749600;57203308821
10.2514/6.2017-0908,57209659294;57203661821;55658283500
10.1115/GT2017-63724,57205293533;55619678900;7406552522
10.1115/GT201763490,6603077820;57193265581;55436436900
10.33012/2017.15158,7202842875;57209538650;6701876192
10.1109/LGRS.2016.2630010,7005513246;7005709969;57190858572
10.1177/2041731417718809,57211987837;57194874146;57190797086
10.1115/DETC2017-68025,24465525600;57201397713;57215609504
10.1115/DETC2017-68370,57204719621;35994294500;36349287300
10.1115/DETC2017-67274,57207689986;57204032253;56094587000
10.1115/DETC201767581,57211516485;7004277402;36667397700
10.1115/DETC201767586,57192710054;57212107391;35269204800
10.1016/j.ijheatmasstransfer.2017.03.044,57216181629;56724258600;56692412900
10.1016/j.ijheatmasstransfer.2017.03.055,55359090100;57193749678;57198450286
10.1109/TNS.2016.2636666,18038642000;56404157200;6701695863
10.1109/TNS.2016.2635028,56748981000;57204472177;57206834042
10.1016/j.ijheatmasstransfer.2016.12.076,16422844400;57192156100;56939117000
10.1117/12.2274694,36126203400;7102843798;56890669600
10.2514/6.2017-1152,55359090100;7201675107;57214580514
10.3141/2636-04,57205766759;57200363612;6602649851
10.24928/2017/0182,7202035366;57201772566;56709364700
10.24928/2017/0213,57204032253;7005513246;57204031131
10.1115/GT2017-65031,7004904337;57204029674;57201357657
10.2118/184610-ms,16178649400;57215613881;7102975249
10.7122/486652-ms,8705255200;51461952600;57206455220
10.2514/6.2017-1619,57218202833;57194391871;57210260262
10.1061/9780784480724.051,57204677555;54787829800;6507359986
10.1364/CLEO_AT.2017.JTu5A.128,57211435896;57202735625;56709364700
10.1364/CLEO_SI.2017.SM4C.5,55698505100;57189445479;56149906900
10.1364/CLEO_SI.2017.SM2C.5,57203943386;6602335448;57202735625
10.2514/1.I010503,57194034271;24923036100;57193811936
10.1061/9780784480458.003,7402648240;7401431037;57203191415
10.1115/DETC2017-67081,56387524600;57212341630;56677251600
10.1115/DETC2017-68205,57212415946;56045493000;56330970800
10.1115/DETC2017-67439,56260937200;16548784600;36708895400
10.1115/DETC2017-68018,7004300863;7005513246;57214076898
10.1115/DETC2017-67440,7202316035;57204719621;57188833818
10.1016/j.snb.2017.02.037,57200117690;35323710800;56237421600
10.2118/185926-ms,6701421652;57193533805;57203221999
10.2514/6.2017-4043,56218368600;6506010179;7006815587
10.2514/6.2017-4049,12646372900;57217789464;14831622300
10.2514/6.2017-4048,57219330558;57214937519;7202751866
10.2514/6.2017-3519,6603325558;15044701600;57194503011
10.2514/6.2017-3520,35873737200;57205293533;57219332168
10.1007/978-3-319-45387-3_10,57218591162;54790496100;8621794000
10.1061/9780784480465.007,16021781200;57202607598;57202627263
10.1021/acs.energyfuels.6b03387,55979578600;55849943100;55949256500
10.1115/DETC201767584,57200534297;57201742316;57204825465
10.1117/12.2250582,35195145200;57201947722;57201772566
10.1061/9780784480458.053,57197710678;57203981655;23570183200
10.1109/TAC.2016.2572002,7003292762;7402967162;56371366400
10.2514/6.2017-5341,57204032253;57192697616;23027991800
10.1016/j.ijheatmasstransfer.2017.05.046,13406135400;24323203800;57194639611
10.1007/978-3-319-52392-7_91,55487415500;56714263700;7003545107
10.1109/TCNS.2015.2498468,8448666000;57191620725;7004904337
10.1007/978-3-030-51758-8_15/O,56315330500;7006542177;57204693186
10.1007/978-3-030-51758-8_15/P,56102505100;57204029674;7801515665
10.1007/978-3-030-51758-8_15/S,6602649851;46961076700;57202280527
10.1007/978-3-030-58653-9_3/O,57212351859;56662711400;57192955909
10.1007/978-3-030-58653-9_3/P,57200118993;55161739600;57215534774
10.1007/978-3-030-58653-9_3/S,55279219900;57191620725;56740595400
10.1115/1.4047428/O,23091904000;57204761536;57190247942
10.1115/1.4047428/P,53866135200;56976354400;24923036100
10.1115/1.4047428/S,55315026400;7004300863;57194698845
10.1016/j.tele.2020.101448/O,7402074463;7005513246;6602649851
10.1016/j.tele.2020.101448/P,57204032253;57021948900;36459611200
10.1016/j.tele.2020.101448/S,36459611200;57204029674;7005513246
10.1016/j.epsr.2020.106824/O,56806547100;55279219900;9277159100
10.1016/j.epsr.2020.106824/P,57211254337;57209567638;56215007300
10.1016/j.epsr.2020.106824/S,57191156976;55912340300;7005976828
10.1016/j.yofte.2020.102356/O,6603570606;6506484066;36859700200
10.1016/j.yofte.2020.102356/P,57189577432;56257805000;57211500187
10.1016/j.yofte.2020.102356/S,7004904337;7102975249;6701664914
10.1016/j.cag.2020.08.003/O,37113017300;35175200200;56330970800
10.1016/j.cag.2020.08.003/P,6507358470;55249877500;7004904337
10.1016/j.cag.2020.08.003/S,15069700700;57197791798;57188681207
10.1016/j.ijepes.2020.106179/O,57210287166;10639679200;57218202833
10.1016/j.ijepes.2020.106179/P,57218886153;56020026900;7005513246
10.1016/j.ijepes.2020.106179/S,57201864184;57126129700;10639679200
10.1088/1361-6528/aba711/O,57219015425;57212089454;12142543700
10.1088/1361-6528/aba711/P,57214076898;57195286623;57202120923
10.1088/1361-6528/aba711/S,57195286623;8715877100;57203836305
10.1016/j.jclepro.2020.122465/O,57194874146;57202116348;10540655600
10.1016/j.jclepro.2020.122465/P,57201666213;7005612595;7103248108
10.1016/j.jclepro.2020.122465/S,57198146081;57203178543;56086163900
10.1016/j.jmapro.2020.07.034/O,55585953300;23052031200;23091904000
10.1016/j.jmapro.2020.07.034/P,8608718200;57218202833;57200688910
10.1016/j.jmapro.2020.07.034/S,55726346900;56237421600;57193720916
10.1109/LRA.2020.3008140/O,57202904399;56622088300;57218886193
10.1109/LRA.2020.3008140/P,56622088300;46961076700;36245410800
10.1109/LRA.2020.3008140/S,34976725300;7801515665;36668159600
10.1016/j.yofte.2020.102334/O,12142543700;18937960700;50162863000
10.1016/j.yofte.2020.102334/P,57203486012;23134948300;57198443855
10.1016/j.yofte.2020.102334/S,7005666650;50162863000;54911216200
10.1016/j.cma.2020.113283/O,8922674200;55681652500;6701746882
10.1016/j.cma.2020.113283/P,57215598228;6701777223;57209824884
10.1016/j.cma.2020.113283/S,35147940600;6601908155;57191110417
10.1109/MVT.2020.3002494/O,24726409500;55855376400;57203731804
10.1109/MVT.2020.3002494/P,16178649400;7201675107;55681652500
10.1109/MVT.2020.3002494/S,57202612841;57201864184;6507317548
10.1007/s10921-020-00695-0/O,56709364700;35209941000;57193706327
10.1007/s10921-020-00695-0/P,57218202833;6701746882;7402407628
10.1007/s10921-020-00695-0/S,8048702500;23052031200;56976354400
10.1016/j.applthermaleng.2020.115658/O,56237421600;6602889035;55726346900
10.1016/j.applthermaleng.2020.115658/P,55457444300;57193564939;56237421600
10.1016/j.applthermaleng.2020.115658/S,36933855300;55812232700;57211500187
10.1016/j.jclepro.2020.121786/O,13406135400;55736791400;57205348362
10.1016/j.jclepro.2020.121786/P,55829396600;57193338296;57194692502
10.1016/j.jclepro.2020.121786/S,57202017958;57198044407;51461952600
10.1109/MWSCAS48704.2020.9184626/O,57207901363;7202539045;57197521815
10.1109/MWSCAS48704.2020.9184626/P,7404766197;23091904000;57218591162
10.1109/MWSCAS48704.2020.9184626/S,35269204800;57218593962;57201772566
10.1109/IRI49571.2020.00045/O,56371366400;57193902758;36668159600
10.1109/IRI49571.2020.00045/P,7102523474;57211987837;57190404271
10.1109/IRI49571.2020.00045/S,57209538650;57218685929;57215609504
10.1016/j.scriptamat.2020.03.062/O,57205257595;56387524600;12142543700
10.1016/j.scriptamat.2020.03.062/P,20735824800;14059027500;56215007300
10.1016/j.scriptamat.2020.03.062/S,57195286623;57201772566;57211205845
10.1109/MWSCAS48704.2020.9184542/O,16422844400;57205652801;57216754583
10.1109/MWSCAS48704.2020.9184542/P,57215684781;35597296700;57210287166
10.1109/MWSCAS48704.2020.9184542/S,8929123100;14033673100;57207689986
10.1109/TAES.2019.2952701/O,57195995765;57081918700;57217283178
10.1109/TAES.2019.2952701/P,57191156976;57200118993;57210912098
10.1109/TAES.2019.2952701/S,7005357023;57192697616;57197797367
10.1177/0278364920903094/O,56248593800;24923036100;57218886189
10.1177/0278364920903094/P,56830076500;36349287300;57206968876
10.1177/0278364920903094/S,57204031131;36349287300;7005513246
10.1080/08982112.2019.1698744/O,57217871738;57201257192;35303536900
10.1080/08982112.2019.1698744/P,7005513246;8244752200;57217871738
10.1080/08982112.2019.1698744/S,55727966500;7004904337;35303536900
10.1115/1.4045448/O,36082483100;7601550121;34873482400
10.1115/1.4045448/P,57190228554;57203230997;24758929200
10.1115/1.4045448/S,7102900497;7409253428;57201397713
10.1109/JAS.2020.1003222/O,57194034271;24923036100;57190402922
10.1109/JAS.2020.1003222/P,57195286623;6701834327;6602649851
10.1109/JAS.2020.1003222/S,6701834327;55315026400;12142543700
10.1115/1.4045814/O,7004060735;35729129900;57193834529
10.1115/1.4045814/P,7404963860;55487415500;57190252027
10.1115/1.4045814/S,7005636820;57216183270;56221901100
10.3397/1/376825/O,7006542177;7005513246;55845968200
10.3397/1/376825/P,57201360985;35562442700;35873737200
10.3397/1/376825/S,36349287300;55693760600;7004904337
10.1016/j.mechmachtheory.2020.103813/O,57209881955;54911216200;57198146081
10.1016/j.mechmachtheory.2020.103813/P,57198450286;7003678761;57211443769
10.1016/j.mechmachtheory.2020.103813/S,57197726868;57195515828;55864283000
10.23919/ACC45564.2020.9147931/O,56680505500;10639679200;57210919648
10.23919/ACC45564.2020.9147931/P,57210916608;7202842875;57218886189
10.23919/ACC45564.2020.9147931/S,36149254500;55315026400;57202738247
10.1109/TNS.2020.2983662/O,57193683516;56196521900;7406665619
10.1109/TNS.2020.2983662/P,57188711588;57208702517;55649569259
10.1109/TNS.2020.2983662/S,57211493546;57216966389;8621794000
10.1049/iet-gtd.2019.1148/O,7006631262;55849071700;57204469757
10.1049/iet-gtd.2019.1148/P,19638969800;57199980412;55912340300
10.1049/iet-gtd.2019.1148/S,57191031931;56102505100;55912340300
10.1002/qre.2638/O,6602649851;57204031131;57204032253
10.1002/qre.2638/P,7005513246;57204031131;6602649851
10.1002/qre.2638/S,7004904337;57204029674;55855376400
10.1109/TAES.2020.2972245/O,7003292762;57218886193;56622088300
10.1109/TAES.2020.2972245/P,7101816954;57210287346;57207901363
10.1109/TAES.2020.2972245/S,57205645397;56363360200;7003498769
10.1002/navi.364/O,57192697616;6701834327;57210912098
10.1002/navi.364/P,57210292389;57203017789;57201367093
10.1002/navi.364/S,6602577617;6602649851;55855376400
10.1016/j.msea.2020.139380/O,16643231700;57031532300;12544690900
10.1016/j.msea.2020.139380/P,57193518829;57215653879;57209538650
10.1016/j.msea.2020.139380/S,57194034271;15044701600;57208015244
10.1002/admi.201901887/O,23388379100;57204802622;7003388995
10.1002/admi.201901887/P,56386056100;57201484423;7003388995
10.1002/admi.201901887/S,57218593446;16229559200;14033673100
10.1115/1.4044323/O,57197773578;57216754583;57194141209
10.1115/1.4044323/P,23569552400;35175200200;57197765649
10.1115/1.4044323/S,6701720294;57200699937;57188681207
10.1088/1361-6439/ab7f53/O,7102483892;57215609504;56702333100
10.1088/1361-6439/ab7f53/P,6603410853;7005709969;7005636820
10.1088/1361-6439/ab7f53/S,56251876800;57190247942;57209530205
10.1016/j.addma.2020.101127/O,57215613881;57211518929;57195286623
10.1016/j.addma.2020.101127/P,7007046711;57215613881;57211158470
10.1016/j.addma.2020.101127/S,12142543700;57199050938;57192247939
10.1007/s12274-020-2672-5/O,57215904613;57209538650;57208823236
10.1007/s12274-020-2672-5/P,35587077000;57203221999;57208823236
10.1007/s12274-020-2672-5/S,57215607275;57201634652;57215598228
10.1109/IPDPSW50202.2020.00041/O,57204546854;14057706900;55449746800
10.1109/IPDPSW50202.2020.00041/P,7102900497;7005085503;57204032253
10.1109/IPDPSW50202.2020.00041/S,57205348362;9845705900;7005412154
10.1142/S0218127420500911/O,57208225620;57190849274;53878508900
10.1142/S0218127420500911/P,7004904337;7202316035;56102505100
10.1142/S0218127420500911/S,57201864184;56148594700;7402756644
10.1016/j.cma.2020.112900/O,23134948300;7004904337;7005513246
10.1016/j.cma.2020.112900/P,56386056100;57081918700;7005513246
10.1016/j.cma.2020.112900/S,56781290700;56386056100;56260937200
10.3390/en13092192/O,57202579348;57216076371;6602649851
10.3390/en13092192/P,57217581770;57200687939;55764401200
10.3390/en13092192/S,56463982900;57201366662;56714263700
10.1007/s11837-020-04075-x/O,55864283000;24401574900;7402786794
10.1007/s11837-020-04075-x/P,57203486012;35088650000;6505524737
10.1007/s11837-020-04075-x/S,57198431633;57203028829;55541477400
10.1021/acsabm.0c00055/O,57204803477;14033673100;35209941000
10.1021/acsabm.0c00055/P,56492379200;57211422454;8641604600
10.1021/acsabm.0c00055/S,57217581770;6701610428;57195217444
10.4271/2020-01-0224/O,7402756644;7202713087;56762988100
10.4271/2020-01-0224/P,57214773567;8935514400;7401969039
10.4271/2020-01-0224/S,57216183270;56330970800;7401969039
10.1115/1.4044161/O,55944615300;57194859276;7401970125
10.1115/1.4044161/P,6602562656;55171433700;6701746882
10.1115/1.4044161/S,57214773567;7401431037;36682113800
10.1109/LRA.2020.2965393/O,57202855772;57205257595;15831070600
10.1109/LRA.2020.2965393/P,56371366400;57218105310;57209824884
10.1109/LRA.2020.2965393/S,9942259800;8922674200;55845968200
10.1109/IRPS45951.2020.9128839/O,23052031200;57191587072;57217041570
10.1109/IRPS45951.2020.9128839/P,55627591500;54978625300;57215609504
10.1109/IRPS45951.2020.9128839/S,57208702517;57200118993;24401574900
10.3390/MI11040349/O,57203836305;57215613881;57211158470
10.3390/MI11040349/P,57200375892;35239803700;56830076500
10.3390/MI11040349/S,57211987837;57219005376;20735824800
10.1109/MAP.2020.2969269/O,57216181629;8421746800;7005513246
10.1109/MAP.2020.2969269/P,57215904613;56810920600;57194503011
10.1109/MAP.2020.2969269/S,57211282830;57204761536;7004300863
10.1103/PhysRevFluids.5.044308/O,23091904000;7103248108;7004495126
10.1103/PhysRevFluids.5.044308/P,36149254500;56363360200;8705255200
10.1103/PhysRevFluids.5.044308/S,56218368600;55457444300;57191155872
10.1061/(ASCE)BE.1943-5592.0001533/O,56045493000;57201759181;57203922639
10.1061/(ASCE)BE.1943-5592.0001533/P,56045493000;55708105800;6701610428
10.1061/(ASCE)BE.1943-5592.0001533/S,57211158470;16021781200;24483038000
10.1021/acsaem.9b02252/O,57208823236;35209941000;7409253428
10.1021/acsaem.9b02252/P,56709287700;7403218372;57208341600
10.1021/acsaem.9b02252/S,57211158470;57003496300;57203943386
10.1016/j.apenergy.2019.114382/O,7601492574;57203942414;6507359986
10.1016/j.apenergy.2019.114382/P,57217581770;7003663333;57218202833
10.1016/j.apenergy.2019.114382/S,7410190129;57202237979;7403218372
10.1109/CICC48029.2020.9075917/O,19638969800;57218202833;57207689986
10.1109/CICC48029.2020.9075917/P,57217041570;57215116223;57197773578
10.1109/CICC48029.2020.9075917/S,7103395611;57200699937;56330970800
10.1016/j.ijmachtools.2019.103512/O,57202612841;7005513246;57211158470
10.1016/j.ijmachtools.2019.103512/P,57193749678;57193845336;57200529047
10.1016/j.ijmachtools.2019.103512/S,7007046711;57193533805;8715877100
10.1016/j.sna.2020.111851/O,57219009389;57201257192;55938156500
10.1016/j.sna.2020.111851/P,57219009389;57211516485;57195420301
10.1016/j.sna.2020.111851/S,56260937200;7403218372;57194047820
10.1016/j.mechmachtheory.2019.103700/O,57209881955;57217581770;56260937200
10.1016/j.mechmachtheory.2019.103700/P,56330168500;55359526600;16548784600
10.1016/j.mechmachtheory.2019.103700/S,20735824800;57196484337;57214937519
10.1016/j.apenergy.2019.114358/O,18535712500;7102280128;56896919700
10.1016/j.apenergy.2019.114358/P,57198044407;57194231165;57194874146
10.1016/j.apenergy.2019.114358/S,7201970805;7004609408;57211105311
10.1016/j.commatsci.2019.109340/O,7005513246;57218202833;57208682307
10.1016/j.commatsci.2019.109340/P,36245410800;57218202833;57216181629
10.1016/j.commatsci.2019.109340/S,57218105310;7402756644;57197795830
10.1080/09205071.2020.1715267/O,57189235340;57206834042;57203191415
10.1080/09205071.2020.1715267/P,57203191415;57190849274;57218481091
10.1080/09205071.2020.1715267/S,57218591162;57218593446;57216287696
10.1109/JMEMS.2019.2953152/O,57215607275;57190228554;57031187500
10.1109/JMEMS.2019.2953152/P,57193834529;7007046711;7102879142
10.1109/JMEMS.2019.2953152/S,56896919700;57217581937;57217581770
10.1007/s10853-019-04125-z/O,8715877100;55272011900;57208598187
10.1007/s10853-019-04125-z/P,55272011900;57207334294;57199050938
10.1007/s10853-019-04125-z/S,7004307869;24923036100;7006583274
10.1016/j.ijheatmasstransfer.2019.119031/O,56387524600;57199980412;55542008600
10.1016/j.ijheatmasstransfer.2019.119031/P,56584019300;57201772566;57195286623
10.1016/j.ijheatmasstransfer.2019.119031/S,57214451592;7004904337;57214937519
10.1016/j.micromeso.2019.109799/O,55736791400;6601976036;56387524600
10.1016/j.micromeso.2019.109799/P,56709287700;55736791400;57211503118
10.1016/j.micromeso.2019.109799/S,7005513246;57217581770;57194686620
10.1016/j.isatra.2019.08.014/O,57216181629;57209567638;57214773567
10.1016/j.isatra.2019.08.014/P,57189219942;57193720916;56890669600
10.1016/j.isatra.2019.08.014/S,7401431037;57191587072;57197795830
10.1016/j.est.2019.101043/O,35338971800;57200515115;55487415500
10.1016/j.est.2019.101043/P,7005513246;7006111578;10141271600
10.1016/j.est.2019.101043/S,7410190129;56941526100;57215811083
10.1109/TAES.2019.2918014/O,57215613881;57201658993;57215811083
10.1109/TAES.2019.2918014/P,57210191104;57211642778;23570183200
10.1109/TAES.2019.2918014/S,57126390100;57214559823;57205285411
10.1016/j.ijheatmasstransfer.2019.118924/O,57209655847;57215007775;57193749678
10.1016/j.ijheatmasstransfer.2019.118924/P,57209655847;57217723923;7102317656
10.1016/j.ijheatmasstransfer.2019.118924/S,57217581770;57216048774;7003545107
10.1038/s41587-019-0399-1/O,57215598228;57205652801;7003387464
10.1038/s41587-019-0399-1/P,57196088013;55458271500;7404963860
