Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Whitehead N., Song Y., Wood Chiang S.-H.","57200118442;57200117690;57202289360;","Direct Measurement of High-Gain and Complementary Charge-Steering Amplifiers",2018,"IEEE Transactions on Circuits and Systems II: Express Briefs","65","6",,"714","718",,1,"10.1109/TCSII.2017.2786640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039776956&doi=10.1109%2fTCSII.2017.2786640&partnerID=40&md5=4c4e32176f1d852f8b65f09687e7fb88","Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84042, United States","Whitehead, N., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84042, United States; Song, Y., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84042, United States; Wood Chiang, S.-H., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84042, United States","This brief presents direct measurement of two novel dynamic amplifiers utilizing the 'charge-steering' topology. Employing a delayed clocking scheme, a four-stage charge-steering amplifier achieves the highest gain of any reported charge-steering topology. A complementary charge-steering amplifier exploits both charging and discharging cycles to double the throughput while reducing power consumption by 22%. Fabricated in 180-nm technology, this brief presents, for the first time, direct measurement results of charge-steering amplifiers, including gain, noise, linearity, common-mode response, and power supply rejection ratio. © 2004-2012 IEEE.","charge redistribution; Charge-steering amplifier; dynamic amplifier; dynamic circuit; operational amplifier","Clocks; Electric current measurement; Electric power utilization; Operational amplifiers; Topology; Transconductance; Charge redistribution; Charge-Steering; Circuits and systems; Dynamic Circuits; Linearity; Power demands; Light amplifiers",Article,"Final",,Scopus,2-s2.0-85039776956
"Liu F.C., Nelson T.W.","57118455800;7401431037;","Twining and dynamic recrystallization in austenitic Alloy 718 during friction welding",2018,"Materials Characterization","140",,,"39","44",,11,"10.1016/j.matchar.2018.03.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044523104&doi=10.1016%2fj.matchar.2018.03.035&partnerID=40&md5=074e8a418fd51fb4fbe1e0704da439aa","Department of mechanical of mechanical engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States","Liu, F.C., Department of mechanical of mechanical engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States; Nelson, T.W., Department of mechanical of mechanical engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States","Quantitative boundary misorientation analysis verified that discontinuous dynamic recrystallization (DDRX) was the primary grain refinement mechanism in friction welding of Alloy 718. Two models were developed to explain the formation mechanism of intragranular twins and intergranular twins, respectively. Intragranular twins were caused by grain boundary growth incidents. After twin initiation, the twin boundary migrated toward the plastic-deformed grain interior to reduce the stored energy. Additionally, intergranular twin boundaries were ascribed to boundary growth stagnation. When boundary growth stagnation occurred, twin boundaries could form and altered the orientation of the boundary migration front, so that boundary migration could progress, leaving a single twin boundary behind. © 2018 Elsevier Inc.","Annealing twins; EBSD; Friction welding; Recrystallization; Superalloy","Crystallization; Friction; Friction welding; Grain boundaries; Grain growth; Grain refinement; Grain size and shape; Superalloys; Tribology; Annealing twins; Austenitic alloys; Boundary migration; Boundary misorientations; Discontinuous dynamic recrystallization; EBSD; Formation mechanism; Grain refinement mechanism; Dynamic recrystallization",Article,"Final",,Scopus,2-s2.0-85044523104
"Cowley A., Maynes D., Crockett J., Iverson B.D.","56237421600;6701863708;55457444300;8608718200;","Bubble nucleation in superhydrophobic microchannels due to subcritical heating",2018,"International Journal of Heat and Mass Transfer","121",,,"196","206",,2,"10.1016/j.ijheatmasstransfer.2017.12.113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039982303&doi=10.1016%2fj.ijheatmasstransfer.2017.12.113&partnerID=40&md5=89ddbc3bbf5e5af277921e833b25185a","Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Cowley, A., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Maynes, D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Crockett, J., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Iverson, B.D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","This work experimentally studies the effects of single wall heating on laminar flow in a high-aspect ratio superhydrophobic microchannel. When water that is saturated with air is used as the working liquid, the non-wetted cavities on the superhydrophobic surfaces act as nucleation sites and allow air to effervesce out of the water and onto the surface when heated. Previous works in the literature have only considered the opposite case where the water is undersaturated and absorbs air out the cavities for a microchannel setting. The microchannel considered in this work consists of a rib/cavity structured superhydrophobic surface and a glass surface separated by spacers. The microchannel is 60 mm long by 14 mm wide and two channel heights of nominally 183 μm and 366 μm are explored. The superhydrophobic side is in contact with a heated aluminum block and a camera is used to visualize the flow through the glass side. Thermocouples are embedded in the aluminum to record the temperature profile along the length of the channel. Temperatures are maintained below the boiling temperature of the working liquid. The friction factor-Reynolds product (fRe) is obtained via pressure drop and volumetric flow-rate measurements. Five surface types/configurations are investigated: smooth hydrophilic, smooth hydrophobic, superhydrophobic with ribs perpendicular to the flow, superhydrophobic with ribs parallel to the flow, and superhydrophobic with ribs parallel to the flow with several breaker ridges perpendicular to the flow. The surface type/configuration has a significant impact on the mass transport dynamics. For surfaces with closed cell micro-structures, large bubbles eventually form and adversely affect fRe and lead to higher temperatures along the channel. When degassed water is used, no bubble nucleation is observed and the air initially trapped in the superhydrophobic cavities is quickly absorbed by the water. © 2018 Elsevier Ltd","Convection; Heat transfer; Mass transfer; Microchannel; Nucleation; Superhydrophobic","Aluminum; Aspect ratio; Flow rate; Glass; Heat convection; Heat transfer; Laminar flow; Mass transfer; Microchannels; Nucleation; Surface properties; Thermocouples; Boiling temperature; Bubble nucleation; High aspect ratio; Super-hydrophobic surfaces; Superhydrophobic; Temperature profiles; Transport dynamics; Volumetric flow rate; Hydrophobicity",Article,"Final",,Scopus,2-s2.0-85039982303
"Bingham E., Gibson G.E., Asmar M.E.","36459611200;7402074463;34868168700;","Measuring User Perceptions of Popular Transportation Project Delivery Methods Using Least Significant Difference Intervals and Multiple Range Tests",2018,"Journal of Construction Engineering and Management","144","6", 04018033,"","",,1,"10.1061/(ASCE)CO.1943-7862.0001469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044584100&doi=10.1061%2f%28ASCE%29CO.1943-7862.0001469&partnerID=40&md5=de86317a59cfdd4c259061ad64905b2e","Ira A. Fulton College of Engineering and Technology, Brigham Young Univ., Provo, UT  84602, United States; School of Sustainable Engineering and the Built Environment, Department Construction Management and Engineering, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States","Bingham, E., Ira A. Fulton College of Engineering and Technology, Brigham Young Univ., Provo, UT  84602, United States; Gibson, G.E., School of Sustainable Engineering and the Built Environment, Department Construction Management and Engineering, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States; Asmar, M.E., School of Sustainable Engineering and the Built Environment, Department Construction Management and Engineering, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States","One of the most critical decisions made by transportation project stakeholders is the choice of a project delivery method for their project. Delivery methods have been shown to significantly impact project cost and schedule. As the use of alternative project delivery methods increases, the perceptions of the advantages and disadvantages to using a particular method have matured. This paper reports on a national study of over 80 transportation owners and designers to measure their perceptions of the three most widely used delivery methods: design bid build (DBB), construction manager at risk (CMAR), and design build (DB). The study develops a list of factors that influence the selection of a delivery method, and then tests the most significant factors that lead to the selection of each individual method. Analyses using Fisher's least significant difference intervals and multiple range tests allow for the identification of specific correlations between the delivery method and motivating factors or project goals. The analyses show that delivery method selection is motivated primarily by project urgency, cost, and risk allocation. For the three main delivery methods of DBB, CMAR, and DB, motivation for their selection is primarily based on cost, risk allocation, and project urgency, respectively. User perceptions align with findings from literature in terms of schedule performance, but do not align in terms of cost performance. This research contributes to the body of knowledge by reporting on the most current motivating factors for the selection and use of the most popular delivery methods. © 2018 American Society of Civil Engineers.",,"Costs; Motivation; Project management; Risk assessment; Risk perception; Alternative project delivery methods; Body of knowledge; Construction manager; Least significant differences; Project delivery method; Schedule performance; Transportation projects; User perceptions; Cost benefit analysis",Article,"Final",,Scopus,2-s2.0-85044584100
"Stott M.A., Ganjalizadeh V., Olsen M.H., Orfila M., McMurray J., Schmidt H., Hawkins A.R.","56709364700;56387524600;57201484423;57194155925;57195398251;16422844400;7102975249;","Optimized ARROW-Based MMI Waveguides for High Fidelity Excitation Patterns for Optofluidic Multiplexing",2018,"IEEE Journal of Quantum Electronics","54","3", 6200107,"","",,4,"10.1109/JQE.2018.2816120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043762684&doi=10.1109%2fJQE.2018.2816120&partnerID=40&md5=72551632497215f43c2ac4aa1747d01d","Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States; School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States","Stott, M.A., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States; Ganjalizadeh, V., School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States; Olsen, M.H., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States; Orfila, M., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States; McMurray, J., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States; Schmidt, H., School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States; Hawkins, A.R., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States","Multimode interference (MMI) waveguides can be used for multiplexing and de-multiplexing optical signals. High fidelity, wavelength dependent multi-spot patterns from MMI waveguides are useful for sensitive and simultaneous identification of multiple targets in multiplexed fluorescence optofluidic biosensors. Through experiments and simulation, this paper explores design parameters for an MMI rib anti-resonant reflecting optical waveguide in order to produce high fidelity spot patterns at the liquid core biomarker excitation region. Width and etch depth of the single excitation rib waveguide used to excite the MMI waveguide are especially critical because they determine the size of the input optical mode which is imaged at the MMI waveguide's output. To increase optical throughput into the MMI waveguide when light is coupled in from an optical fiber, tapers in the waveguide width can be used for better mode matching. © 2012 IEEE.","Dielectric waveguides; fluorescence; fluorescence spectroscopy; integrated optics; multimode waveguides; multiplexing; rib waveguides","Dielectric waveguides; Emission spectroscopy; Fluorescence; Fluorescence spectroscopy; Integrated optics; Multiplexing; Optical fibers; Antiresonant reflecting optical waveguides; Excitation pattern; Multi-mode interference; Multi-mode waveguides; Optical throughput; Optofluidic biosensor; Rib waveguides; Simultaneous identification; Waveguides",Article,"Final",,Scopus,2-s2.0-85043762684
"Chen G., Magleby S.P., Howell L.L.","8922674200;6701720294;57211516485;","Membrane-Enhanced Lamina Emergent Torsional Joints for Surrogate Folds",2018,"Journal of Mechanical Design, Transactions of the ASME","140","6", 062303,"","",,8,"10.1115/1.4039852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050862016&doi=10.1115%2f1.4039852&partnerID=40&md5=92d155d1272054b098788e0906dbeb03","State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Chen, G., State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Magleby, S.P., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Howell, L.L., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Lamina emergent compliant mechanisms (including origami-adapted compliant mechanisms) are mechanical devices that can be fabricated from a planar material (a lamina) and have motion that emerges out of the fabrication plane. Lamina emergent compliant mechanisms often exhibit undesirable parasitic motions due to the planar fabrication constraint. This work introduces a type of lamina emergent torsion (LET) joint that reduces parasitic motions of lamina emergent mechanisms, and presents equations for modeling parasitic motion of LET joints. The membrane joint also makes possible one-way joints that can ensure origami-based mechanisms emerge from their flat state (a change point) into the desired configuration. Membrane-enhanced LET (M-LET) joints, including one-way surrogate folds, are described here and show promise for use in a wide range of compliant mechanisms and origami-based compliant mechanisms. They are demonstrated as individual joints and in mechanisms such as a kaleidocycle (a 6R Bricard linkage), degree-4 origami vertices (spherical mechanisms), and waterbomb base mechanisms (an 8R multi-degrees-of-freedom origami-based mechanism). © 2018 by ASME.",,"Degrees of freedom (mechanics); Mechanisms; Bricard linkages; Lamina emergent mechanisms; Mechanical device; Multi degrees of freedom; Parasitic motion; Planar fabrication; Planar material; Spherical mechanisms; Compliant mechanisms",Article,"Final",,Scopus,2-s2.0-85050862016
"Fortes E.S., Parsekian G.A., Fonseca F.S., Camacho J.S.","56781290700;36055605700;7004435321;16041305200;","High-Strength Concrete Masonry Walls under Concentric and Eccentric Loadings",2018,"Journal of Structural Engineering (United States)","144","6", 04018055,"","",,2,"10.1061/(ASCE)ST.1943-541X.0001978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044731763&doi=10.1061%2f%28ASCE%29ST.1943-541X.0001978&partnerID=40&md5=a9fd8911a8f321c0ca6fcfd4c2da47ce","Dept. of Civil Engineering, Federal Univ. of Sao Carlos, Rod. Washington Luís, km 235, SP-310, São Carlos, SP  13565-905, Brazil; Dept. of Civil and Environmental Engineering, Brigham Young Univ., 368 Clyde Bldg., Provo, UT  84602, United States; Dept. of Civil Engineering, Sao Paulo State Univ., Alameda Bahia, 550, Ilha Solteira, SP  13565-905, Brazil","Fortes, E.S., Dept. of Civil Engineering, Federal Univ. of Sao Carlos, Rod. Washington Luís, km 235, SP-310, São Carlos, SP  13565-905, Brazil; Parsekian, G.A., Dept. of Civil Engineering, Federal Univ. of Sao Carlos, Rod. Washington Luís, km 235, SP-310, São Carlos, SP  13565-905, Brazil; Fonseca, F.S., Dept. of Civil and Environmental Engineering, Brigham Young Univ., 368 Clyde Bldg., Provo, UT  84602, United States; Camacho, J.S., Dept. of Civil Engineering, Sao Paulo State Univ., Alameda Bahia, 550, Ilha Solteira, SP  13565-905, Brazil","Masonry walls and columns are common structural members that typically resist compressive loads, with a number of such members being required to resist combined axial load and out-of-plane bending due to direct out-of-plane loads or an eccentricity of the axial compressive load. Flexural compression strength is usually greater than axial compression strength, and a reasonable experimental data set supports this assertion. However, little information exists for high-strength concrete block masonry subjected to combined axial and flexural loadings. This paper presents axial and flexural compression strengths and deformation properties of high-strength concrete block masonry. Seventy-two masonry prisms were constructed and tested to evaluate the capacity and behavior of high-strength structural masonry subject to compressive concentric and eccentric loading; both grouted and hollow prisms were used. Block strengths of 44, 56, and 67 MPa are considered. The results show an increase of flexural compression strength of 15-29% for the hollow prisms and of 70-79% for the grouted prisms compared with their axial compression strength. Measured ultimate strain varies from 0.14 to 0.19% for the axial compression and from 0.20 to 0.25% for the flexural compression. Hollow prism strength varies from 52 to 62% of the block strength, whereas grouted prism strength varies from 43 to 59% of the block strength. © 2018 American Society of Civil Engineers.","Concentric and eccentric loading; High-strength concrete masonry block; Hollow and grouted prisms","Axial compression; Concrete construction; Grouting; High performance concrete; Mortar; Prisms; Retaining walls; Stress analysis; Walls (structural partitions); Axial compressive load; Compression strength; Deformation properties; Eccentric loading; Flexural compression; High strength concretes; Out of plane loads; Out-of-plane bending; Compressive strength",Article,"Final",,Scopus,2-s2.0-85044731763
"Qian Z., Bowden A.E., Zhang D., Wan J., Liu W., Li X., Baradoy D., Fullwood D.T.","57202322450;7006441571;14059209700;57202323019;56795914000;57202321033;57202319101;12142543700;","Inverse piezoresistive nanocomposite sensors for identifying human sitting posture",2018,"Sensors (Switzerland)","18","6", 1745,"","",,1,"10.3390/s18061745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047885292&doi=10.3390%2fs18061745&partnerID=40&md5=622a6bc9d63550811bd18d296bf25839","School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China; SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China; Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Qian, Z., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China; Bowden, A.E., SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Zhang, D., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China; Wan, J., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China; Liu, W., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, 528399, China; Li, X., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510006, China; Baradoy, D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Fullwood, D.T., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Sitting posture is the position in which one holds his/her body upright against gravity while sitting. Poor sitting posture is regarded as an aggravating factor for various diseases. In this paper, we present an inverse piezoresistive nanocomposite sensor, and related deciphering neural network, as a new tool to identify human sitting postures accurately. As a low power consumption device, the proposed tool has simple structure, and is easy to use. The strain gauge is attached to the back of the user to acquire sitting data. A three-layer BP neural network is employed to distinguish normal sitting posture, slight hunchback and severe hunchback according to the acquired data. Experimental results show that our method is both realizable and effective, achieving 98.75% posture identification accuracy. This successful application of inverse piezoresistive nanocomposite sensors reveals that the method could potentially be used for monitoring of diverse physiological parameters in the future. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","BP neural network; Inverse piezoresistive nanocomposite sensor; Posture identification; Sitting posture; Strain gauge","Gravitation; Inverse problems; Network layers; Neural networks; Physiological models; Strain gages; BP neural networks; Identification accuracy; Low-power consumption; Nanocomposite sensors; Physiological parameters; Simple structures; Sitting posture; Three layer BP neural network; Nanocomposites; nanocomposite; adult; artificial neural network; body position; chemistry; female; genetic procedures; human; male; middle aged; movement (physiology); physiologic monitoring; physiology; procedures; young adult; Adult; Biosensing Techniques; Female; Humans; Male; Middle Aged; Monitoring, Physiologic; Movement; Nanocomposites; Neural Networks (Computer); Posture; Young Adult",Article,"Final",Open Access,Scopus,2-s2.0-85047885292
"Clarke K.D., Hovanski Y., Coughlin D.R., Carsley J.E.","23003484200;18535712500;26321508500;7003587356;","Shaping and Forming of Advanced High Strength Steels",2018,"JOM","70","6",,"892","893",,1,"10.1007/s11837-018-2820-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045266995&doi=10.1007%2fs11837-018-2820-5&partnerID=40&md5=0971b4f5cdd6b5d8062bc42070052865","Colorado School of Mines, Golden, CO, United States; Brigham Young University, Provo, UT, United States; Los Alamos National Laboratory, Los Alamos, NM, United States; General Motors Company, Warren, MI, United States","Clarke, K.D., Colorado School of Mines, Golden, CO, United States; Hovanski, Y., Brigham Young University, Provo, UT, United States; Coughlin, D.R., Los Alamos National Laboratory, Los Alamos, NM, United States; Carsley, J.E., General Motors Company, Warren, MI, United States",[No abstract available],,,Note,"Final",Open Access,Scopus,2-s2.0-85045266995
"Smalley D., Poon T.C., Gao H., Kvavle J., Qaderi K.","16313800700;56457856600;16315369500;6507336034;56532087700;","Volumetric displays",2018,"Optics and Photonics News","29","6",,"26","33",,12,"10.1364/opn.29.6.000026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048327375&doi=10.1364%2fopn.29.6.000026&partnerID=40&md5=6b45c06d9ae746c4b3b2a3f986f99c64","Brigham Young University, Provo, UT, United States; Virginia Tech, Blacksburg, VA, United States; Shanghai University, China; U.S. Office of Naval Research Global, São Paulo, Brazil","Smalley, D., Brigham Young University, Provo, UT, United States; Poon, T.C., Virginia Tech, Blacksburg, VA, United States; Gao, H., Shanghai University, China; Kvavle, J., U.S. Office of Naval Research Global, São Paulo, Brazil; Qaderi, K., Brigham Young University, Provo, UT, United States",[No abstract available],,,Article,"Final",,Scopus,2-s2.0-85048327375
"Christensen C., Willey L., Vasquez D., Salmon J.L.","57202602903;57202612841;57202612703;56830076500;","Systems analysis of EV adoption and criteria pollutant accumulation during inversion events",2018,"12th Annual IEEE International Systems Conference, SysCon 2018 - Proceedings",,,,"1","8",,,"10.1109/SYSCON.2018.8369583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048854895&doi=10.1109%2fSYSCON.2018.8369583&partnerID=40&md5=dbe3ae25039b0aacac9580eb2de3b3fd","Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Christensen, C., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Willey, L., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Vasquez, D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Salmon, J.L., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Exploring the system-level interactions between vehicle exhaust criteria pollutants, human health, and natural weather patterns such as inversion events is increasingly expedient given the accelerated growth and concentration of human populations in recent years. Pollutants often accumulate to unhealthy concentrations during winter inversion events like those that commonly occur in the state of Utah and other mountainous regions. Electric vehicles (EV) are a potential solution to reduce harmful tail-pipe emissions that accumulate during inversions. This work represents a systems-level analysis of the degree to which replacing internal combustion engine vehicles (ICE) with EVs would reduce the near-road accumulation of criteria pollutants. The analysis draws on vehicle miles travelled data from major highways in Utah, vehicle fuel efficiency data, EPA-specified vehicle pollution emission standards, and local weather pattern trends. It employs two models, built in MATLAB and the agent-based modeling environment NetLogo, to determine pollutant concentrations, accumulation, and dispersion rates. These results are processed to determine changes in the Air Quality Index (AQI) caused by adjusting the percentage of EVs present within the vehicle population. The analysis concludes that replacing a significant percentage (80-100%) of the existing, fossil-fuel powered vehicle population with EVs would improve local AQI by 13 points. During extreme inversion events in Utah, these reductions would delay AQI levels from reaching 'red,' or unhealthy, status for enough time to allow local weather patterns to shift and dissipate the inversion event and accompanying pollution. Such a drastic reduction in AQI translates into better adolescent and elderly health and could minimize the risk of early onset asthma and other respiratory illnesses in regions negatively affected by high traffic pollution and winter inversion events. © 2018 IEEE.","Criteria pollutants; Electric vehicles; Environmental impact; Inversion; Modeling and simulation",,Conference Paper,"Final",,Scopus,2-s2.0-85048854895
